"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LEONCIO PRADO (000)",29351,742,13412,8235,2435,903,378,112,15,,3119
"Catolica (001)",18396,453,8074,5237,1643,611,237,77,8,,2056
"Cristiana / Evangelica (002)",9333,252,4582,2557,675,264,119,29,5,,850
"Otra (003)",576,9,212,188,56,19,12,4,2,,74
"Ninguna (004)",1046,28,544,253,61,9,10,2,,,139
,,,,,,,,,,,
"URBANA (006)",18382,410,7508,5351,1793,733,313,86,13,,2175
"Catolica (007)",11708,238,4546,3478,1247,506,196,58,7,,1432
"Cristiana / Evangelica (008)",5581,147,2489,1569,466,206,98,22,4,,580
"Otra (009)",448,8,160,145,38,14,11,4,2,,66
"Ninguna (010)",645,17,313,159,42,7,8,2,,,97
,,,,,,,,,,,
"RURAL (012)",10969,332,5904,2884,642,170,65,26,2,,944
"Catolica (013)",6688,215,3528,1759,396,105,41,19,1,,624
"Cristiana / Evangelica (014)",3752,105,2093,988,209,58,21,7,1,,270
"Otra (015)",128,1,52,43,18,5,1,,,,8
"Ninguna (016)",401,11,231,94,19,2,2,,,,42
