"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia POMABAMBA (000)",17754,8821,126,119,8061,192,7,17,,411
"Hombres (001)",6611,4487,82,55,1646,98,6,11,,226
"Mujeres (002)",11143,4334,44,64,6415,94,1,6,,185
"De 06 a 14 años (003)",6738,6381,,,129,81,,2,,145
"Hombres (004)",3348,3195,,,40,40,,1,,72
"Mujeres (005)",3390,3186,,,89,41,,1,,73
"De 15 a 29 años (006)",4731,2399,3,27,2185,,1,1,,115
"Hombres (007)",1745,1270,2,11,402,,,1,,59
"Mujeres (008)",2986,1129,1,16,1783,,1,,,56
"De 30 a 44 años (009)",2397,30,1,35,2271,,3,2,,55
"Hombres (010)",524,18,,14,450,,3,2,,37
"Mujeres (011)",1873,12,1,21,1821,,,,,18
"De 45 a 64 años (012)",2270,9,50,33,2115,2,3,5,,53
"Hombres (013)",518,4,29,17,429,,3,3,,33
"Mujeres (014)",1752,5,21,16,1686,2,,2,,20
"De 65 y más años (015)",1618,2,72,24,1361,109,,7,,43
"Hombres (016)",476,,51,13,325,58,,4,,25
"Mujeres (017)",1142,2,21,11,1036,51,,3,,18
,,,,,,,,,,
"AREA URBANA (018)",3367,1838,87,49,1307,30,4,2,,50
"Hombres (019)",1325,913,52,20,296,14,3,1,,26
"Mujeres (020)",2042,925,35,29,1011,16,1,1,,24
"De 06 a 14 años (021)",1200,1161,,,17,6,,1,,15
"Hombres (022)",583,565,,,5,6,,1,,6
"Mujeres (023)",617,596,,,12,,,,,9
"De 15 a 29 años (024)",1030,657,2,11,346,,1,,,13
"Hombres (025)",420,336,1,3,72,,,,,8
"Mujeres (026)",610,321,1,8,274,,1,,,5
"De 30 a 44 años (027)",410,16,1,16,368,,2,,,7
"Hombres (028)",108,9,,7,84,,2,,,6
"Mujeres (029)",302,7,1,9,284,,,,,1
"De 45 a 64 años (030)",402,4,34,13,338,,1,1,,11
"Hombres (031)",101,3,18,6,67,,1,,,6
"Mujeres (032)",301,1,16,7,271,,,1,,5
"De 65 y más años (033)",325,,50,9,238,24,,,,4
"Hombres (034)",113,,33,4,68,8,,,,
"Mujeres (035)",212,,17,5,170,16,,,,4
,,,,,,,,,,
"AREA RURAL (036)",14387,6983,39,70,6754,162,3,15,,361
"Hombres (037)",5286,3574,30,35,1350,84,3,10,,200
"Mujeres (038)",9101,3409,9,35,5404,78,,5,,161
"De 06 a 14 años (039)",5538,5220,,,112,75,,1,,130
"Hombres (040)",2765,2630,,,35,34,,,,66
"Mujeres (041)",2773,2590,,,77,41,,1,,64
"De 15 a 29 años (042)",3701,1742,1,16,1839,,,1,,102
"Hombres (043)",1325,934,1,8,330,,,1,,51
"Mujeres (044)",2376,808,,8,1509,,,,,51
"De 30 a 44 años (045)",1987,14,,19,1903,,1,2,,48
"Hombres (046)",416,9,,7,366,,1,2,,31
"Mujeres (047)",1571,5,,12,1537,,,,,17
"De 45 a 64 años (048)",1868,5,16,20,1777,2,2,4,,42
"Hombres (049)",417,1,11,11,362,,2,3,,27
"Mujeres (050)",1451,4,5,9,1415,2,,1,,15
"De 65 y más años (051)",1293,2,22,15,1123,85,,7,,39
"Hombres (052)",363,,18,9,257,50,,4,,25
"Mujeres (053)",930,2,4,6,866,35,,3,,14
