"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CARHUAZ (000)",43772,734,13318,11490,8059,6461,3710
"Casa independiente (001)",43535,725,13246,11434,8005,6439,3686
"Departamento en edificio (002)",20,1,4,4,8,3,
"Vivienda en quinta (003)",16,,4,3,7,,2
"Vivienda en casa de vecindad (004)",39,1,11,8,12,5,2
"Choza o cabaña (005)",139,6,47,37,20,11,18
"Vivienda improvisada (006)",10,,3,1,2,2,2
"Local no destinado para hab.humana (007)",13,1,3,3,5,1,
,,,,,,,
"URBANA (009)",14732,236,4060,3931,2902,2329,1274
"Casa independiente (010)",14634,233,4035,3912,2868,2318,1268
"Departamento en edificio (011)",20,1,4,4,8,3,
"Vivienda en quinta (012)",16,,4,3,7,,2
"Vivienda en casa de vecindad (013)",39,1,11,8,12,5,2
"Vivienda improvisada (015)",10,,3,1,2,2,2
"Local no destinado para hab.humana (016)",13,1,3,3,5,1,
,,,,,,,
"RURAL (018)",29040,498,9258,7559,5157,4132,2436
"Casa independiente (019)",28901,492,9211,7522,5137,4121,2418
"Choza o cabaña (023)",139,6,47,37,20,11,18
