"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ANTABAMBA (000)",4294,4225,1004,426,452,408,790,602,543,69
"Católica (001)",3747,3686,881,360,397,356,702,519,471,61
"Cristiana/Evangélica (002)",460,454,99,52,45,45,80,70,63,6
"Otra (003)",48,47,8,9,4,5,7,9,5,1
"Ninguna (004)",39,38,16,5,6,2,1,4,4,1
,,,,,,,,,,
"URBANA (006)",3082,3033,790,305,313,288,556,405,376,49
"Católica (007)",2745,2703,702,261,280,265,503,362,330,42
"Cristiana/Evangélica (008)",261,256,66,34,24,18,45,31,38,5
"Otra (009)",40,39,7,6,3,4,7,8,4,1
"Ninguna (010)",36,35,15,4,6,1,1,4,4,1
,,,,,,,,,,
"RURAL (012)",1212,1192,214,121,139,120,234,197,167,20
"Católica (013)",1002,983,179,99,117,91,199,157,141,19
"Cristiana/Evangélica (014)",199,198,33,18,21,27,35,39,25,1
"Otra (015)",8,8,1,3,1,1,,1,1,
"Ninguna (016)",3,3,1,1,,1,,,,
