"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CANDARAVE (000)",7985,2257,664,185,4880
"Quechua (001)",55,8,16,,31
"Aymara (002)",1672,302,86,30,1254
"Asháninka (003)",6,2,,,4
"Otra lengua nativa (004)",3,1,1,,1
"Castellano (005)",6242,1938,561,155,3589
"Es Sordomudo/a (007)",7,6,,,1
"Hombres (009)",4196,1068,421,129,2579
"Quechua (010)",42,5,16,,21
"Aymara (011)",854,131,62,21,640
"Asháninka (012)",1,,,,1
"Otra lengua nativa (013)",2,1,,,1
"Castellano (014)",3293,927,343,108,1916
"Es Sordomudo/a (016)",4,4,,,
"Mujeres (018)",3789,1189,243,56,2301
"Quechua (019)",13,3,,,10
"Aymara (020)",818,171,24,9,614
"Asháninka (021)",5,2,,,3
"Otra lengua nativa (022)",1,,1,,
"Castellano (023)",2949,1011,218,47,1673
"Es Sordomudo/a (025)",3,2,,,1
,,,,,
"URBANA (027)",5194,1525,454,132,3084
"Quechua (028)",35,3,10,,22
"Aymara (029)",1001,164,54,20,763
"Asháninka (030)",4,1,,,3
"Otra lengua nativa (031)",1,,1,,
"Castellano (032)",4147,1352,389,112,2295
"Es Sordomudo/a (034)",6,5,,,1
"Hombres (036)",2689,728,276,89,1597
"Quechua (037)",25,2,10,,13
"Aymara (038)",493,65,38,13,377
"Castellano (041)",2167,657,228,76,1207
"Es Sordomudo/a (043)",4,4,,,
"Mujeres (045)",2505,797,178,43,1487
"Quechua (046)",10,1,,,9
"Aymara (047)",508,99,16,7,386
"Asháninka (048)",4,1,,,3
"Otra lengua nativa (049)",1,,1,,
"Castellano (050)",1980,695,161,36,1088
"Es Sordomudo/a (052)",2,1,,,1
,,,,,
"RURAL (054)",2791,732,210,53,1796
"Quechua (055)",20,5,6,,9
"Aymara (056)",671,138,32,10,491
"Asháninka (057)",2,1,,,1
"Otra lengua nativa (058)",2,1,,,1
"Castellano (059)",2095,586,172,43,1294
"Es Sordomudo/a (061)",1,1,,,
"Hombres (063)",1507,340,145,40,982
"Quechua (064)",17,3,6,,8
"Aymara (065)",361,66,24,8,263
"Asháninka (066)",1,,,,1
"Otra lengua nativa (067)",2,1,,,1
"Castellano (068)",1126,270,115,32,709
"Mujeres (072)",1284,392,65,13,814
"Quechua (073)",3,2,,,1
"Aymara (074)",310,72,8,2,228
"Asháninka (075)",1,1,,,
"Castellano (077)",969,316,57,11,585
"Es Sordomudo/a (079)",1,1,,,
