"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BOLOGNESI (000)",11569,153,3649,3994,2711,1062
"Agric., ganadería, caza y silvicultura (001)",4772,98,1185,1314,1376,799
"Pesca (002)",2,,,,2,
"Explotación de minas y canteras (003)",688,1,313,282,92,
"Industrias manufactureras (004)",366,6,146,106,87,21
"Suministro de electricidad, gas y agua (005)",30,,12,11,7,
"Construcción (006)",826,2,294,330,180,20
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1069,22,289,413,247,98
"Venta, mant.y rep. veh.autom.y motoc. (008)",101,1,46,35,14,5
"Comercio al por mayor (009)",76,2,18,38,16,2
"Comercio al por menor (010)",892,19,225,340,217,91
"Hoteles y restaurantes (011)",375,8,156,117,77,17
"Trans., almac. y comunicaciones (012)",519,3,199,222,90,5
"Intermediación financiera (013)",4,,1,3,,
"Activid.inmobil., empres. y alquileres (014)",310,,121,124,62,3
"Admin.pub. y defensa; p. segur.soc afil (015)",346,,107,146,90,3
"Enseñanza (016)",552,,86,336,124,6
"Servicios sociales y de salud (017)",115,,26,74,15,
"Otras activ. serv.comun.soc y personales (018)",276,3,120,97,44,12
"Hogares privados con servicio doméstico (019)",144,3,76,37,20,8
"Actividad economica no especificada (021)",651,,237,234,123,57
"Desocupado (022)",524,7,281,148,75,13
"Hombres (023)",8354,103,2638,2893,1939,781
"Agric., ganadería, caza y silvicultura (024)",3627,63,906,1015,1021,622
"Pesca (025)",1,,,,1,
"Explotación de minas y canteras (026)",674,1,306,277,90,
"Industrias manufactureras (027)",302,6,126,82,68,20
"Suministro de electricidad, gas y agua (028)",28,,10,11,7,
"Construcción (029)",808,2,286,322,178,20
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",519,14,152,185,111,57
"Venta, mant.y rep. veh.autom.y motoc. (031)",97,1,44,34,13,5
"Comercio al por mayor (032)",44,1,14,19,8,2
"Comercio al por menor (033)",378,12,94,132,90,50
"Hoteles y restaurantes (034)",123,4,61,34,20,4
"Trans., almac. y comunicaciones (035)",498,3,187,218,85,5
"Intermediación financiera (036)",1,,,1,,
"Activid.inmobil., empres. y alquileres (037)",257,,93,109,52,3
"Admin.pub. y defensa; p. segur.soc afil (038)",244,,54,109,78,3
"Enseñanza (039)",281,,37,162,76,6
"Servicios sociales y de salud (040)",38,,7,25,6,
"Otras activ. serv.comun.soc y personales (041)",154,2,67,57,20,8
