"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OTUZCO (000)",82690,28074,3125,612,50922
"Sin Nivel (001)",17045,6468,341,57,10185
"Educación Inicial (002)",1877,1122,107,7,642
"Primaria (003)",47945,16433,1032,200,30305
"Secundaria (004)",11298,3710,484,139,6968
"Sup. no Univ. Incompleta (005)",1292,158,84,36,1014
"Sup. no Univ. Completa (006)",1972,112,603,90,1173
"Sup. Univ. Incompleta (007)",381,32,69,25,257
"Sup. Univ. Completa (008)",880,39,405,58,378
"Hombres (010)",41646,13447,1553,375,26297
"Sin Nivel (011)",6214,2692,142,23,3359
"Educación Inicial (012)",901,532,55,3,311
"Primaria (013)",25264,7973,547,109,16651
"Secundaria (014)",6866,2070,261,96,4440
"Sup. no Univ. Incompleta (015)",704,85,44,27,548
"Sup. no Univ. Completa (016)",1002,51,281,61,614
"Sup. Univ. Incompleta (017)",227,22,33,20,154
"Sup. Univ. Completa (018)",468,22,190,36,220
"Mujeres (020)",41044,14627,1572,237,24625
"Sin Nivel (021)",10831,3776,199,34,6826
"Educación Inicial (022)",976,590,52,4,331
"Primaria (023)",22681,8460,485,91,13654
"Secundaria (024)",4432,1640,223,43,2528
"Sup. no Univ. Incompleta (025)",588,73,40,9,466
"Sup. no Univ. Completa (026)",970,61,322,29,559
"Sup. Univ. Incompleta (027)",154,10,36,5,103
"Sup. Univ. Completa (028)",412,17,215,22,158
,,,,,
"URBANA (030)",20025,4546,2230,452,12813
"Sin Nivel (031)",2801,835,172,29,1766
"Educación Inicial (032)",492,238,93,5,157
"Primaria (033)",8765,2313,539,122,5796
"Secundaria (034)",4347,969,384,114,2882
"Sup. no Univ. Incompleta (035)",965,83,74,30,778
"Sup. no Univ. Completa (036)",1668,77,557,82,957
"Sup. Univ. Incompleta (037)",265,7,57,22,181
"Sup. Univ. Completa (038)",722,24,354,48,296
"Hombres (040)",9766,2098,1101,277,6300
"Sin Nivel (041)",944,329,79,13,523
"Educación Inicial (042)",225,101,47,2,75
"Primaria (043)",4284,1095,290,58,2844
"Secundaria (044)",2476,487,203,77,1709
"Sup. no Univ. Incompleta (045)",501,38,37,22,404
"Sup. no Univ. Completa (046)",818,33,253,58,479
"Sup. Univ. Incompleta (047)",138,3,27,17,93
"Sup. Univ. Completa (048)",380,12,165,30,173
"Mujeres (050)",10259,2448,1129,175,6513
"Sin Nivel (051)",1857,506,93,16,1243
"Educación Inicial (052)",267,137,46,3,82
"Primaria (053)",4481,1218,249,64,2952
"Secundaria (054)",1871,482,181,37,1173
"Sup. no Univ. Incompleta (055)",464,45,37,8,374
"Sup. no Univ. Completa (056)",850,44,304,24,478
"Sup. Univ. Incompleta (057)",127,4,30,5,88
"Sup. Univ. Completa (058)",342,12,189,18,123
,,,,,
"RURAL (060)",62665,23528,895,160,38109
"Sin Nivel (061)",14244,5633,169,28,8419
"Educación Inicial (062)",1385,884,14,2,485
"Primaria (063)",39180,14120,493,78,24509
"Secundaria (064)",6951,2741,100,25,4086
"Sup. no Univ. Incompleta (065)",327,75,10,6,236
"Sup. no Univ. Completa (066)",304,35,46,8,216
"Sup. Univ. Incompleta (067)",116,25,12,3,76
"Sup. Univ. Completa (068)",158,15,51,10,82
"Hombres (070)",31880,11349,452,98,19997
"Sin Nivel (071)",5270,2363,63,10,2836
"Educación Inicial (072)",676,431,8,1,236
"Primaria (073)",20980,6878,257,51,13807
"Secundaria (074)",4390,1583,58,19,2731
"Sup. no Univ. Incompleta (075)",203,47,7,5,144
"Sup. no Univ. Completa (076)",184,18,28,3,135
"Sup. Univ. Incompleta (077)",89,19,6,3,61
"Sup. Univ. Completa (078)",88,10,25,6,47
"Mujeres (080)",30785,12179,443,62,18112
"Sin Nivel (081)",8974,3270,106,18,5583
"Educación Inicial (082)",709,453,6,1,249
"Primaria (083)",18200,7242,236,27,10702
"Secundaria (084)",2561,1158,42,6,1355
"Sup. no Univ. Incompleta (085)",124,28,3,1,92
"Sup. no Univ. Completa (086)",120,17,18,5,81
"Sup. Univ. Incompleta (087)",27,6,6,,15
"Sup. Univ. Completa (088)",70,5,26,4,35
