"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TALARA (000)",29040,25346,3694
"Red pública dentro de la vivienda (001)",21082,20065,1017
"Red pública fuera de la vivienda (002)",1562,1202,360
"Pilón de uso público (003)",417,236,181
"Camión - cisterna u otro similar (004)",2400,1813,587
"Pozo (005)",152,87,65
"Río, acequia, manatial o similar (006)",17,8,9
"Vecino (007)",2668,1571,1097
"Otro (008)",742,364,378
,,,
"URBANA (010)",28481,25075,3406
"Red pública dentro de la vivienda (011)",20974,19993,981
"Red pública fuera de la vivienda (012)",1523,1174,349
"Pilón de uso público (013)",395,236,159
"Camión - cisterna u otro similar (014)",2110,1649,461
"Pozo (015)",106,84,22
"Río, acequia, manatial o similar (016)",10,8,2
"Vecino (017)",2640,1569,1071
"Otro (018)",723,362,361
,,,
"RURAL (020)",559,271,288
"Red pública dentro de la vivienda (021)",108,72,36
"Red pública fuera de la vivienda (022)",39,28,11
"Pilón de uso público (023)",22,,22
"Camión - cisterna u otro similar (024)",290,164,126
"Pozo (025)",46,3,43
"Río, acequia, manatial o similar (026)",7,,7
"Vecino (027)",28,2,26
"Otro (028)",19,2,17
