"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia YUNGAY (000)",54963,11869,3021,1044,39053
"Menos de 1 año (001)",1040,621,54,8,358
"De 1 a 14 años (002)",18356,9263,1001,188,7914
"De 15 a 29 años (003)",14497,1299,416,494,12292
"De 30 a 44 años (004)",9706,424,818,154,8314
"De 45 a 64 años (005)",7399,204,498,132,6570
"De 65 y mas años (006)",3965,58,234,68,3605
"Hombres (008)",27043,5814,1516,658,19073
"Menos de 1 año (009)",503,295,26,7,175
"De 1 a 14 años (010)",9228,4717,495,82,3940
"De 15 a 29 años (011)",7211,524,199,348,6144
"De 30 a 44 años (012)",4681,158,379,96,4052
"De 45 a 64 años (013)",3551,85,271,84,3115
"De 65 y mas años (014)",1869,35,146,41,1647
"Mujeres (016)",27920,6055,1505,386,19980
"Menos de 1 año (017)",537,326,28,1,183
"De 1 a 14 años (018)",9128,4546,506,106,3974
"De 15 a 29 años (019)",7286,775,217,146,6148
"De 30 a 44 años (020)",5025,266,439,58,4262
"De 45 a 64 años (021)",3848,119,227,48,3455
"De 65 y mas años (022)",2096,23,88,27,1958
,,,,,
"URBANA (024)",13268,1475,2043,806,8960
"Menos de 1 año (025)",223,78,37,3,106
"De 1 a 14 años (026)",3555,1037,616,130,1777
"De 15 a 29 años (027)",3858,235,275,445,2906
"De 30 a 44 años (028)",2623,76,569,103,1877
"De 45 a 64 años (029)",1952,36,376,81,1464
"De 65 y mas años (030)",1057,13,170,44,830
"Hombres (032)",6672,746,1021,519,4399
"Menos de 1 año (033)",105,32,16,2,55
"De 1 a 14 años (034)",1839,560,316,51,916
"De 15 a 29 años (035)",2026,98,133,323,1475
"De 30 a 44 años (036)",1251,31,254,66,902
"De 45 a 64 años (037)",944,15,200,54,679
"De 65 y mas años (038)",507,10,102,23,372
"Mujeres (040)",6596,729,1022,287,4561
"Menos de 1 año (041)",118,46,21,1,51
"De 1 a 14 años (042)",1716,477,300,79,861
"De 15 a 29 años (043)",1832,137,142,122,1431
"De 30 a 44 años (044)",1372,45,315,37,975
"De 45 a 64 años (045)",1008,21,176,27,785
"De 65 y mas años (046)",550,3,68,21,458
,,,,,
"RURAL (048)",41695,10394,978,238,30093
"Menos de 1 año (049)",817,543,17,5,252
"De 1 a 14 años (050)",14801,8226,385,58,6137
"De 15 a 29 años (051)",10639,1064,141,49,9386
"De 30 a 44 años (052)",7083,348,249,51,6437
"De 45 a 64 años (053)",5447,168,122,51,5106
"De 65 y mas años (054)",2908,45,64,24,2775
"Hombres (056)",20371,5068,495,139,14674
"Menos de 1 año (057)",398,263,10,5,120
"De 1 a 14 años (058)",7389,4157,179,31,3024
"De 15 a 29 años (059)",5185,426,66,25,4669
"De 30 a 44 años (060)",3430,127,125,30,3150
"De 45 a 64 años (061)",2607,70,71,30,2436
"De 65 y mas años (062)",1362,25,44,18,1275
"Mujeres (064)",21324,5326,483,99,15419
"Menos de 1 año (065)",419,280,7,,132
"De 1 a 14 años (066)",7412,4069,206,27,3113
"De 15 a 29 años (067)",5454,638,75,24,4717
"De 30 a 44 años (068)",3653,221,124,21,3287
"De 45 a 64 años (069)",2840,98,51,21,2670
"De 65 y mas años (070)",1546,20,20,6,1500
