"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MARISCAL CACERES (000)",14193,8254,5939
"Casa independiente (001)",10797,7578,3219
"Departamento en edificio (002)",57,57,
"Vivienda en quinta (003)",447,447,
"Vivienda en casa de vecindad (004)",58,58,
"Choza o cabaña (005)",2712,,2712
"Vivienda improvisada (006)",92,92,
"Local no dest.para hab. humana (007)",22,19,3
"Otro tipo (008)",8,3,5
