"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CANGALLO (000)",9763,3313,6450
"Red pública dentro de la vivienda (001)",2584,1528,1056
"Red pública fuera de la vivienda (002)",1115,697,418
"Pilón de uso público (003)",778,153,625
"Camión - cisterna u otro similar (004)",4,,4
"Pozo (005)",77,16,61
"Río, acequia, manatial o similar (006)",4651,765,3886
"Vecino (007)",493,139,354
"Otro (008)",61,15,46
,,,
"URBANA (010)",3326,2117,1209
"Red pública dentro de la vivienda (011)",1354,1035,319
"Red pública fuera de la vivienda (012)",675,541,134
"Pilón de uso público (013)",35,15,20
"Pozo (015)",3,2,1
"Río, acequia, manatial o similar (016)",1001,430,571
"Vecino (017)",233,80,153
"Otro (018)",25,14,11
,,,
"RURAL (020)",6437,1196,5241
"Red pública dentro de la vivienda (021)",1230,493,737
"Red pública fuera de la vivienda (022)",440,156,284
"Pilón de uso público (023)",743,138,605
"Camión - cisterna u otro similar (024)",4,,4
"Pozo (025)",74,14,60
"Río, acequia, manatial o similar (026)",3650,335,3315
"Vecino (027)",260,59,201
"Otro (028)",36,1,35
