"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTA CRUZ (000)",11122,910,10,4979,3423,231,858,148,563
"Empleado (001)",1646,13,,75,243,106,652,95,462
"Obrero (002)",1387,115,4,669,533,20,28,9,9
"Trabajador independiente (003)",5415,448,2,2913,1727,79,140,30,76
"Empleador o patrono (004)",233,21,,126,67,7,5,1,6
"Trabajador familiar no remunerado (005)",2228,286,4,1097,777,17,29,9,9
"Trabajador del hogar (006)",213,27,,99,76,2,4,4,1
"Hombres (008)",8870,609,9,4235,2924,159,503,99,332
"Empleado (009)",932,4,,30,161,57,357,63,260
"Obrero (010)",1238,80,4,591,503,19,25,8,8
"Trabajador independiente (011)",4845,369,2,2679,1561,63,98,20,53
"Empleador o patrono (012)",211,16,,116,63,6,4,1,5
"Trabajador familiar no remunerado (013)",1635,139,3,815,633,14,19,6,6
"Trabajador del hogar (014)",9,1,,4,3,,,1,
"Mujeres (016)",2252,301,1,744,499,72,355,49,231
"Empleado (017)",714,9,,45,82,49,295,32,202
"Obrero (018)",149,35,,78,30,1,3,1,1
"Trabajador independiente (019)",570,79,,234,166,16,42,10,23
"Empleador o patrono (020)",22,5,,10,4,1,1,,1
"Trabajador familiar no remunerado (021)",593,147,1,282,144,3,10,3,3
"Trabajador del hogar (022)",204,26,,95,73,2,4,3,1
,,,,,,,,,
"URBANA (024)",3066,68,,713,990,140,604,112,439
"Empleado (025)",1178,5,,43,170,65,461,75,359
"Obrero (026)",357,9,,121,178,15,22,7,5
"Trabajador independiente (027)",1162,37,,406,485,49,100,22,63
"Empleador o patrono (028)",42,,,13,16,3,4,1,5
"Trabajador familiar no remunerado (029)",219,10,,81,97,6,13,5,7
"Trabajador del hogar (030)",108,7,,49,44,2,4,2,
"Hombres (032)",2023,27,,486,745,95,345,74,251
"Empleado (033)",677,2,,22,119,36,251,52,195
"Obrero (034)",315,2,,100,169,14,19,6,5
"Trabajador independiente (035)",858,19,,303,377,39,65,13,42
"Empleador o patrono (036)",34,,,11,13,2,3,1,4
"Trabajador familiar no remunerado (037)",133,4,,47,64,4,7,2,5
"Trabajador del hogar (038)",6,,,3,3,,,,
"Mujeres (040)",1043,41,,227,245,45,259,38,188
"Empleado (041)",501,3,,21,51,29,210,23,164
"Obrero (042)",42,7,,21,9,1,3,1,
"Trabajador independiente (043)",304,18,,103,108,10,35,9,21
"Empleador o patrono (044)",8,,,2,3,1,1,,1
"Trabajador familiar no remunerado (045)",86,6,,34,33,2,6,3,2
"Trabajador del hogar (046)",102,7,,46,41,2,4,2,
,,,,,,,,,
"RURAL (048)",8056,842,10,4266,2433,91,254,36,124
"Empleado (049)",468,8,,32,73,41,191,20,103
"Obrero (050)",1030,106,4,548,355,5,6,2,4
"Trabajador independiente (051)",4253,411,2,2507,1242,30,40,8,13
"Empleador o patrono (052)",191,21,,113,51,4,1,,1
"Trabajador familiar no remunerado (053)",2009,276,4,1016,680,11,16,4,2
"Trabajador del hogar (054)",105,20,,50,32,,,2,1
"Hombres (056)",6847,582,9,3749,2179,64,158,25,81
"Empleado (057)",255,2,,8,42,21,106,11,65
"Obrero (058)",923,78,4,491,334,5,6,2,3
"Trabajador independiente (059)",3987,350,2,2376,1184,24,33,7,11
"Empleador o patrono (060)",177,16,,105,50,4,1,,1
"Trabajador familiar no remunerado (061)",1502,135,3,768,569,10,12,4,1
"Trabajador del hogar (062)",3,1,,1,,,,1,
"Mujeres (064)",1209,260,1,517,254,27,96,11,43
"Empleado (065)",213,6,,24,31,20,85,9,38
"Obrero (066)",107,28,,57,21,,,,1
"Trabajador independiente (067)",266,61,,131,58,6,7,1,2
"Empleador o patrono (068)",14,5,,8,1,,,,
"Trabajador familiar no remunerado (069)",507,141,1,248,111,1,4,,1
"Trabajador del hogar (070)",102,19,,49,32,,,1,1
