"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PASCO (000)",3569,1079,2490
"Sin nivel (001)",137,25,112
"Educación inicial (002)",7,2,5
"Primaria (003)",493,102,391
"Secundaria (004)",1796,600,1196
"Superior no univ. incompleta (005)",190,59,131
"Superior no univ. completa (006)",264,88,176
"Superior univ. incompleta (007)",177,48,129
"Superior univ. completa (008)",505,155,350
"Hombres (010)",2510,650,1860
"Sin nivel (011)",86,12,74
"Educación inicial (012)",5,1,4
"Primaria (013)",360,56,304
"Secundaria (014)",1373,401,972
"Superior no univ. incompleta (015)",134,38,96
"Superior no univ. completa (016)",168,49,119
"Superior univ. incompleta (017)",126,26,100
"Superior univ. completa (018)",258,67,191
"Mujeres (020)",1059,429,630
"Sin nivel (021)",51,13,38
"Educación inicial (022)",2,1,1
"Primaria (023)",133,46,87
"Secundaria (024)",423,199,224
"Superior no univ. incompleta (025)",56,21,35
"Superior no univ. completa (026)",96,39,57
"Superior univ. incompleta (027)",51,22,29
"Superior univ. completa (028)",247,88,159
,,,
"AREA URBANA (030)",2794,782,2012
"Sin nivel (031)",84,17,67
"Educación inicial (032)",4,2,2
"Primaria (033)",323,57,266
"Secundaria (034)",1331,389,942
"Superior no univ. incompleta (035)",166,49,117
"Superior no univ. completa (036)",245,79,166
"Superior univ. incompleta (037)",164,44,120
"Superior univ. completa (038)",477,145,332
"Hombres (040)",1942,456,1486
"Sin nivel (041)",47,8,39
"Educación inicial (042)",2,1,1
"Primaria (043)",230,30,200
"Secundaria (044)",1038,259,779
"Superior no univ. incompleta (045)",117,31,86
"Superior no univ. completa (046)",155,44,111
"Superior univ. incompleta (047)",115,24,91
"Superior univ. completa (048)",238,59,179
"Mujeres (050)",852,326,526
"Sin nivel (051)",37,9,28
"Educación inicial (052)",2,1,1
"Primaria (053)",93,27,66
"Secundaria (054)",293,130,163
"Superior no univ. incompleta (055)",49,18,31
"Superior no univ. completa (056)",90,35,55
"Superior univ. incompleta (057)",49,20,29
"Superior univ. completa (058)",239,86,153
,,,
"AREA RURAL (060)",775,297,478
"Sin nivel (061)",53,8,45
"Educación inicial (062)",3,,3
"Primaria (063)",170,45,125
"Secundaria (064)",465,211,254
"Superior no univ. incompleta (065)",24,10,14
"Superior no univ. completa (066)",19,9,10
"Superior univ. incompleta (067)",13,4,9
"Superior univ. completa (068)",28,10,18
"Hombres (070)",568,194,374
"Sin nivel (071)",39,4,35
"Educación inicial (072)",3,,3
"Primaria (073)",130,26,104
"Secundaria (074)",335,142,193
"Superior no univ. incompleta (075)",17,7,10
"Superior no univ. completa (076)",13,5,8
"Superior univ. incompleta (077)",11,2,9
"Superior univ. completa (078)",20,8,12
"Mujeres (080)",207,103,104
"Sin nivel (081)",14,4,10
"Primaria (083)",40,19,21
"Secundaria (084)",130,69,61
"Superior no univ. incompleta (085)",7,3,4
"Superior no univ. completa (086)",6,4,2
"Superior univ. incompleta (087)",2,2,
"Superior univ. completa (088)",8,2,6
