"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CUTERVO",,,,,,,,,
"Viviendas particulares (001)",10837,1630,2080,568,710,110,137,144,5458
"Ocupantes presentes (002)",47656,7376,9316,2503,3173,467,492,602,23727
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",10604,1587,2007,544,703,108,137,142,5376
"Ocupantes presentes (005)",46671,7211,8992,2409,3138,454,492,595,23380
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",63,7,26,8,1,1,,1,19
"Ocupantes presentes (008)",285,32,109,42,4,10,,5,83
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",49,17,17,5,3,1,,,6
"Ocupantes presentes (011)",207,65,76,23,16,3,,,24
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",52,12,25,10,1,,,,4
"Ocupantes presentes (014)",210,47,113,24,7,,,,19
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",53,4,1,1,1,,,1,45
"Ocupantes presentes (017)",222,12,9,5,1,,,2,193
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",3,2,1,,,,,,
"Ocupantes presentes (020)",11,6,5,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",13,1,3,,1,,,,8
"Ocupantes presentes (023)",50,3,12,,7,,,,28
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4727,861,1669,331,244,80,98,41,1403
"Ocupantes presentes (029)",20054,3848,7370,1434,1055,320,340,160,5527
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4553,822,1597,308,239,78,98,40,1371
"Ocupantes presentes (032)",19320,3695,7055,1345,1028,307,340,155,5395
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",63,7,26,8,1,1,,1,19
"Ocupantes presentes (035)",285,32,109,42,4,10,,5,83
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",49,17,17,5,3,1,,,6
"Ocupantes presentes (038)",207,65,76,23,16,3,,,24
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",52,12,25,10,1,,,,4
"Ocupantes presentes (041)",210,47,113,24,7,,,,19
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",3,2,1,,,,,,
"Ocupantes presentes (047)",11,6,5,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,1,3,,,,,,3
"Ocupantes presentes (050)",21,3,12,,,,,,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",6110,769,411,237,466,30,39,103,4055
"Ocupantes presentes (056)",27602,3528,1946,1069,2118,147,152,442,18200
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",6051,765,410,236,464,30,39,102,4005
"Ocupantes presentes (059)",27351,3516,1937,1064,2110,147,152,440,17985
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",53,4,1,1,1,,,1,45
"Ocupantes presentes (071)",222,12,9,5,1,,,2,193
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",6,,,,1,,,,5
"Ocupantes presentes (077)",29,,,,7,,,,22
"Otro tipo",,,,,,,,,
