"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PUERTO INCA (000)",26018,7505,8265,5708,3575,965
"Hombres (001)",14404,3914,4502,3225,2176,587
"Mujeres (002)",11614,3591,3763,2483,1399,378
"PEA (003)",11220,502,4315,3634,2295,474
"Hombres (004)",9064,338,3502,2906,1909,409
"Mujeres (005)",2156,164,813,728,386,65
"Ocupada (006)",10588,445,4029,3484,2184,446
"Hombres (007)",8586,303,3302,2782,1815,384
"Mujeres (008)",2002,142,727,702,369,62
"Desocupada (009)",632,57,286,150,111,28
"Hombres (010)",478,35,200,124,94,25
"Mujeres (011)",154,22,86,26,17,3
"No PEA (012)",14798,7003,3950,2074,1280,491
"Hombres (013)",5340,3576,1000,319,267,178
"Mujeres (014)",9458,3427,2950,1755,1013,313
,,,,,,
"URBANA (018)",5365,1482,1611,1279,774,219
"Hombres (019)",2784,732,808,663,448,133
"Mujeres (020)",2581,750,803,616,326,86
"PEA (021)",2336,36,788,875,535,102
"Hombres (022)",1690,19,563,622,396,90
"Mujeres (023)",646,17,225,253,139,12
"Ocupada (024)",2135,33,706,814,488,94
"Hombres (025)",1526,16,505,567,355,83
"Mujeres (026)",609,17,201,247,133,11
"Desocupada (027)",201,3,82,61,47,8
"Hombres (028)",164,3,58,55,41,7
"Mujeres (029)",37,,24,6,6,1
"No PEA (030)",3029,1446,823,404,239,117
"Hombres (031)",1094,713,245,41,52,43
"Mujeres (032)",1935,733,578,363,187,74
,,,,,,
"RURAL (036)",20653,6023,6654,4429,2801,746
"Hombres (037)",11620,3182,3694,2562,1728,454
"Mujeres (038)",9033,2841,2960,1867,1073,292
"PEA (039)",8884,466,3527,2759,1760,372
"Hombres (040)",7374,319,2939,2284,1513,319
"Mujeres (041)",1510,147,588,475,247,53
"Ocupada (042)",8453,412,3323,2670,1696,352
"Hombres (043)",7060,287,2797,2215,1460,301
"Mujeres (044)",1393,125,526,455,236,51
"Desocupada (045)",431,54,204,89,64,20
"Hombres (046)",314,32,142,69,53,18
"Mujeres (047)",117,22,62,20,11,2
"No PEA (048)",11769,5557,3127,1670,1041,374
"Hombres (049)",4246,2863,755,278,215,135
"Mujeres (050)",7523,2694,2372,1392,826,239
