"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia UCAYALI (000)",20353,16150,2427,891,885
"Empleado (001)",2757,930,630,520,677
"Obrero (002)",3476,2333,655,290,198
"Trabajador independiente (003)",9592,8838,754,,
"Empleador o patrono (004)",599,470,97,26,6
"Trabajador familiar no remunerado (005)",3489,3139,291,55,4
"Trabajador del hogar (006)",440,440,,,
"De 06 a 14 años (008)",701,639,38,24,
"Empleado (009)",14,13,1,,
"Obrero (010)",106,90,8,8,
"Trabajador independiente (011)",39,37,2,,
"Trabajador familiar no remunerado (013)",514,471,27,16,
"Trabajador del hogar (014)",28,28,,,
"De 15 a 29 años (016)",7262,5757,954,281,270
"Empleado (017)",937,387,219,123,208
"Obrero (018)",1577,1053,337,127,60
"Trabajador independiente (019)",2748,2521,227,,
"Empleador o patrono (020)",190,154,29,5,2
"Trabajador familiar no remunerado (021)",1568,1400,142,26,
"Trabajador del hogar (022)",242,242,,,
"De 30 a 44 años (024)",6813,5122,911,372,408
"Empleado (025)",1258,373,303,255,327
"Obrero (026)",1100,721,201,102,76
"Trabajador independiente (027)",3380,3091,289,,
"Empleador o patrono (028)",195,146,37,10,2
"Trabajador familiar no remunerado (029)",774,685,81,5,3
"Trabajador del hogar (030)",106,106,,,
"De 45 a 64 años (032)",4528,3673,459,202,194
"Empleado (033)",523,144,103,142,134
"Obrero (034)",598,394,100,47,57
"Trabajador independiente (035)",2662,2465,197,,
"Empleador o patrono (036)",164,128,25,9,2
"Trabajador familiar no remunerado (037)",523,484,34,4,1
"Trabajador del hogar (038)",58,58,,,
"De 65 y más años (040)",1049,959,65,12,13
"Empleado (041)",25,13,4,,8
"Obrero (042)",95,75,9,6,5
"Trabajador independiente (043)",763,724,39,,
"Empleador o patrono (044)",50,42,6,2,
"Trabajador familiar no remunerado (045)",110,99,7,4,
"Trabajador del hogar (046)",6,6,,,
,,,,,
"URBANA (048)",11429,8267,1583,743,836
"Empleado (049)",2209,653,426,484,646
"Obrero (050)",1820,1063,361,214,182
"Trabajador independiente (051)",5195,4647,548,,
"Empleador o patrono (052)",266,188,54,19,5
"Trabajador familiar no remunerado (053)",1638,1415,194,26,3
"Trabajador del hogar (054)",301,301,,,
"De 06 a 14 años (056)",317,290,21,6,
