"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL NIETO (000)",20556,181,5735,6849,3028,1178,509,142,20,,2914
"Conviviente (001)",6278,65,2009,2212,846,300,120,21,5,,700
"Separado(a) (002)",1606,21,514,551,241,90,35,11,1,,142
"Casado(a) (003)",8521,55,2277,3025,1480,585,258,81,9,,751
"Viudo(a) (004)",1368,20,397,463,160,63,44,19,3,,199
"Divorciado(a) (005)",243,1,88,75,33,15,4,3,1,,23
"Soltero(a) (006)",2540,19,450,523,268,125,48,7,1,,1099
,,,,,,,,,,,
"URBANA (008)",17883,154,4860,5896,2706,1066,456,127,17,,2601
"Conviviente (009)",5313,53,1676,1866,719,255,111,17,4,,612
"Separado(a) (010)",1441,18,461,487,217,85,31,11,1,,130
"Casado(a) (011)",7481,47,1925,2636,1357,544,228,74,8,,662
"Viudo(a) (012)",1101,19,317,361,128,51,37,17,3,,168
"Divorciado(a) (013)",221,1,78,69,32,14,4,3,,,20
"Soltero(a) (014)",2326,16,403,477,253,117,45,5,1,,1009
,,,,,,,,,,,
"RURAL (016)",2673,27,875,953,322,112,53,15,3,,313
"Conviviente (017)",965,12,333,346,127,45,9,4,1,,88
"Separado(a) (018)",165,3,53,64,24,5,4,,,,12
"Casado(a) (019)",1040,8,352,389,123,41,30,7,1,,89
"Viudo(a) (020)",267,1,80,102,32,12,7,2,,,31
"Divorciado(a) (021)",22,,10,6,1,1,,,1,,3
"Soltero(a) (022)",214,3,47,46,15,8,3,2,,,90
