"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANTA CRUZ (000)",11607,11079,57,1987,1847,1609,2379,1645,995,560,528,46110
"De 12 a 14 años (001)",27,12,2,9,1,,,,,,15,11
"De 15 a 19 años (002)",262,227,3,191,29,4,,,,,35,261
"De 20 a 24 años (003)",996,846,7,523,231,65,17,3,,,150,1271
"De 25 a 29 años (004)",1187,1076,6,396,357,208,96,12,1,,111,2224
"De 30 a 34 años (005)",1306,1246,4,249,381,298,263,47,4,,60,3372
"De 35 a 39 años (006)",1393,1349,4,165,319,307,401,124,25,4,44,4493
"De 40 a 44 años (007)",1136,1103,4,115,162,210,351,188,57,16,33,4441
"De 45 a 49 años (008)",1043,1016,5,78,119,160,297,223,96,38,27,4779
"De 50 y más años (009)",4257,4204,22,261,248,357,954,1048,812,502,53,25258
"PEA (010)",1907,1752,11,401,372,330,346,157,87,48,155,5897
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",30,24,1,22,1,,,,,,6,24
"De 20 a 24 años (013)",151,114,1,83,22,7,,1,,,37,154
"De 25 a 29 años (014)",201,160,4,78,42,24,11,1,,,41,285
"De 30 a 34 años (015)",237,216,,60,76,49,28,3,,,21,498
"De 35 a 39 años (016)",337,312,,53,102,73,70,9,5,,25,870
"De 40 a 44 años (017)",260,250,,39,61,62,70,12,5,1,10,777
"De 45 a 49 años (018)",207,201,2,19,33,60,55,22,7,3,6,744
"De 50 y más años (019)",483,474,3,46,35,55,112,109,70,44,9,2544
"Ocupada (020)",1861,1724,10,395,364,322,343,156,87,47,137,5819
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",30,24,1,22,1,,,,,,6,24
