"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia PUERTO INCA",,,,,,,,,
"Viviendas particulares (001)",7097,88,15,6672,89,14,13,4,202
"Ocupantes presentes (002)",30810,360,83,29031,350,56,58,28,844
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4511,86,11,4280,33,6,7,4,84
"Ocupantes presentes (005)",19746,353,66,18743,137,30,30,28,359
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",6,,,6,,,,,
"Ocupantes presentes (011)",11,,,11,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",13,,,13,,,,,
"Ocupantes presentes (014)",41,,,41,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2546,,4,2361,56,7,6,,112
"Ocupantes presentes (017)",10944,,17,10198,213,21,28,,467
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",8,,,7,,1,,,
"Ocupantes presentes (020)",31,,,26,,5,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",7,2,,5,,,,,
"Ocupantes presentes (023)",19,7,,12,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",6,,,,,,,,6
"Ocupantes presentes (026)",18,,,,,,,,18
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1338,58,3,1263,4,1,3,1,5
"Ocupantes presentes (029)",5982,270,24,5615,21,5,16,16,15
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1309,57,3,1236,4,,3,1,5
"Ocupantes presentes (032)",5886,264,24,5530,21,,16,16,15
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",6,,,6,,,,,
"Ocupantes presentes (038)",11,,,11,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",13,,,13,,,,,
"Ocupantes presentes (041)",41,,,41,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",8,,,7,,1,,,
"Ocupantes presentes (047)",31,,,26,,5,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,1,,1,,,,,
"Ocupantes presentes (050)",13,6,,7,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5759,30,12,5409,85,13,10,3,197
"Ocupantes presentes (056)",24828,90,59,23416,329,51,42,12,829
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3202,29,8,3044,29,6,4,3,79
"Ocupantes presentes (059)",13860,89,42,13213,116,30,14,12,344
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2546,,4,2361,56,7,6,,112
"Ocupantes presentes (071)",10944,,17,10198,213,21,28,,467
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,1,,4,,,,,
"Ocupantes presentes (077)",6,1,,5,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",6,,,,,,,,6
"Ocupantes presentes (080)",18,,,,,,,,18
