"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUPACA (000)",19037,15756,1511,892,878
"Sin nivel (001)",969,933,30,4,2
"Educación inicial (002)",15,13,1,1,
"Primaria (003)",4897,4608,212,46,31
"Secundaria (004)",8090,7074,571,225,220
"Superior no univ. incompleta (005)",1077,877,94,46,60
"Superior no univ. completa (006)",1820,1069,298,249,204
"Superior univ. incompleta (007)",639,462,61,43,73
"Superior univ. completa (008)",1530,720,244,278,288
"De 06 a 14 años (010)",224,206,17,1,
"Sin nivel (011)",4,3,1,,
"Educación inicial (012)",3,2,1,,
"Primaria (013)",118,113,5,,
"Secundaria (014)",99,88,10,1,
"De 15 a 29 años (020)",5390,4436,499,238,217
"Sin nivel (021)",60,57,3,,
"Educación inicial (022)",4,4,,,
"Primaria (023)",568,523,33,12,
"Secundaria (024)",2994,2608,247,82,57
"Superior no univ. incompleta (025)",522,435,45,16,26
"Superior no univ. completa (026)",623,417,91,61,54
"Superior univ. incompleta (027)",273,201,27,17,28
"Superior univ. completa (028)",346,191,53,50,52
"De 30 a 44 años (030)",6377,5003,565,408,401
"Sin nivel (031)",148,135,10,3,
"Educación inicial (032)",8,7,,1,
"Primaria (033)",1263,1167,72,16,8
"Secundaria (034)",2863,2484,187,95,97
"Superior no univ. incompleta (035)",377,305,31,22,19
"Superior no univ. completa (036)",839,473,135,130,101
"Superior univ. incompleta (037)",205,137,17,17,34
"Superior univ. completa (038)",674,295,113,124,142
"De 45 a 64 años (040)",5280,4423,375,239,243
"Sin nivel (041)",422,407,12,1,2
"Primaria (043)",1914,1807,73,16,18
"Secundaria (044)",1853,1631,117,46,59
"Superior no univ. incompleta (045)",149,112,16,8,13
"Superior no univ. completa (046)",327,152,69,57,49
"Superior univ. incompleta (047)",141,108,16,8,9
"Superior univ. completa (048)",474,206,72,103,93
"De 65 y más años (050)",1766,1688,55,6,17
"Sin nivel (051)",335,331,4,,
"Primaria (053)",1034,998,29,2,5
"Secundaria (054)",281,263,10,1,7
"Superior no univ. incompleta (055)",29,25,2,,2
"Superior no univ. completa (056)",31,27,3,1,
"Superior univ. incompleta (057)",20,16,1,1,2
"Superior univ. completa (058)",36,28,6,1,1
,,,,,
"URBANA (060)",12055,9630,1032,706,687
