"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANCHIS (000)",26349,24574,83,4606,4875,4176,6085,3272,1214,263,1775,87707
"De 12 a 14 años (001)",32,12,,7,5,,,,,,20,17
"De 15 a 19 años (002)",510,414,4,355,48,4,3,,,,96,475
"De 20 a 24 años (003)",2503,1815,13,1188,481,100,28,5,,,688,2600
"De 25 a 29 años (004)",3167,2667,4,987,936,481,241,13,5,,500,5444
"De 30 a 34 años (005)",3173,3001,5,600,957,729,592,107,7,4,172,8048
"De 35 a 39 años (006)",3175,3080,3,346,758,749,878,288,51,7,95,10328
"De 40 a 44 años (007)",2856,2806,7,210,447,557,942,468,154,21,50,11459
"De 45 a 49 años (008)",2317,2292,4,176,291,382,739,479,172,49,25,10193
"De 50 y más años (009)",8616,8487,43,737,952,1174,2662,1912,825,182,129,39143
"PEA (010)",12194,11376,33,2291,2345,2004,2662,1413,519,109,818,39290
"De 12 a 14 años (011)",6,3,,2,1,,,,,,3,4
"De 15 a 19 años (012)",183,157,3,133,17,2,2,,,,26,181
"De 20 a 24 años (013)",1006,725,7,503,168,40,7,,,,281,989
"De 25 a 29 años (014)",1506,1244,4,519,423,200,93,3,2,,262,2392
"De 30 a 34 años (015)",1630,1524,1,380,493,342,254,49,3,2,106,3851
"De 35 a 39 años (016)",1652,1597,1,220,430,398,403,124,17,4,55,5024
"De 40 a 44 años (017)",1587,1554,4,135,274,338,497,218,78,10,33,6044
"De 45 a 49 años (018)",1349,1334,3,111,190,246,405,263,90,26,15,5731
"De 50 y más años (019)",3275,3238,10,288,349,438,1001,756,329,67,37,15074
"Ocupada (020)",11770,11056,33,2184,2278,1950,2600,1390,514,107,714,38407
