"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TUMBES (000)",77,77,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",26,26,
"Casa pensión (003)",4,4,
"Hospital, clinica (004)",1,1,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",41,41,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",4,4,
