"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CANCHIS (000)",1649,543,1106
"De 14 a 29 años (001)",811,383,428
"De 30 a 44 años (002)",554,146,408
"De 45 a 64 años (003)",234,14,220
"De 65 y más años (004)",50,,50
"Hombres (005)",1101,317,784
"De 14 a 29 años (006)",493,222,271
"De 30 a 44 años (007)",383,84,299
"De 45 a 64 años (008)",188,11,177
"De 65 y más años (009)",37,,37
"Mujeres (010)",548,226,322
"De 14 a 29 años (011)",318,161,157
"De 30 a 44 años (012)",171,62,109
"De 45 a 64 años (013)",46,3,43
"De 65 y más años (014)",13,,13
,,,
"AREA URBANA (015)",1272,430,842
"De 14 a 29 años (016)",620,298,322
"De 30 a 44 años (017)",447,121,326
"De 45 a 64 años (018)",169,11,158
"De 65 y más años (019)",36,,36
"Hombres (020)",817,244,573
"De 14 a 29 años (021)",362,170,192
"De 30 a 44 años (022)",297,66,231
"De 45 a 64 años (023)",133,8,125
"De 65 y más años (024)",25,,25
"Mujeres (025)",455,186,269
"De 14 a 29 años (026)",258,128,130
"De 30 a 44 años (027)",150,55,95
"De 45 a 64 años (028)",36,3,33
"De 65 y más años (029)",11,,11
,,,
"AREA RURAL (030)",377,113,264
"De 14 a 29 años (031)",191,85,106
"De 30 a 44 años (032)",107,25,82
"De 45 a 64 años (033)",65,3,62
"De 65 y más años (034)",14,,14
"Hombres (035)",284,73,211
"De 14 a 29 años (036)",131,52,79
"De 30 a 44 años (037)",86,18,68
"De 45 a 64 años (038)",55,3,52
"De 65 y más años (039)",12,,12
"Mujeres (040)",93,40,53
"De 14 a 29 años (041)",60,33,27
"De 30 a 44 años (042)",21,7,14
"De 45 a 64 años (043)",10,,10
"De 65 y más años (044)",2,,2
