"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONTUMAZA (000)",8542,105,3163,2921,1014,385,155,41,8,,750
"Sin Nivel (001)",1191,24,480,408,108,57,16,9,,,89
"Educación Inicial (002)",7,,3,2,1,,,,,,1
"Primaria (003)",4793,74,1996,1609,471,163,81,28,8,,363
"Secundaria (004)",1458,6,534,540,169,53,22,2,,,132
"Sup. no Univ. Incompleta (005)",168,,39,63,30,8,3,,,,25
"Sup. no Univ. Completa (006)",636,1,81,223,161,67,17,1,,,85
"Sup. Univ. Incompleta (007)",67,,11,22,10,6,4,,,,14
"Sup. Univ. Completa (008)",222,,19,54,64,31,12,1,,,41
,,,,,,,,,,,
"URBANA (010)",3841,33,1239,1313,537,224,99,26,5,,365
"Sin Nivel (011)",314,6,115,103,35,14,6,5,,,30
"Educación Inicial (012)",4,,2,2,,,,,,,
"Primaria (013)",1633,23,647,554,165,67,40,17,5,,115
"Secundaria (014)",936,3,343,331,106,43,20,2,,,88
"Sup. no Univ. Incompleta (015)",136,,32,51,25,6,3,,,,19
"Sup. no Univ. Completa (016)",561,1,73,203,139,59,15,1,,,70
"Sup. Univ. Incompleta (017)",53,,8,20,7,5,4,,,,9
"Sup. Univ. Completa (018)",204,,19,49,60,30,11,1,,,34
,,,,,,,,,,,
"RURAL (020)",4701,72,1924,1608,477,161,56,15,3,,385
"Sin Nivel (021)",877,18,365,305,73,43,10,4,,,59
"Educación Inicial (022)",3,,1,,1,,,,,,1
"Primaria (023)",3160,51,1349,1055,306,96,41,11,3,,248
"Secundaria (024)",522,3,191,209,63,10,2,,,,44
"Sup. no Univ. Incompleta (025)",32,,7,12,5,2,,,,,6
"Sup. no Univ. Completa (026)",75,,8,20,22,8,2,,,,15
"Sup. Univ. Incompleta (027)",14,,3,2,3,1,,,,,5
"Sup. Univ. Completa (028)",18,,,5,4,1,1,,,,7
