"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANTA (000)",6008,4546,685,445,332
"Sin nivel (001)",334,250,48,36,
"Educación inicial (002)",7,6,1,,
"Primaria (003)",1873,1574,204,81,14
"Secundaria (004)",2599,2029,308,193,69
"Superior no univ. incompleta (005)",292,199,38,31,24
"Superior no univ. completa (006)",267,149,23,27,68
"Superior univ. incompleta (007)",220,149,27,14,30
"Superior univ. completa (008)",416,190,36,63,127
"De 06 a 14 años (010)",95,82,11,2,
"Sin nivel (011)",8,7,1,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",55,51,4,,
"Secundaria (014)",31,23,6,2,
"De 15 a 29 años (020)",1784,1215,293,191,85
"Sin nivel (021)",34,24,7,3,
"Educación inicial (022)",1,1,,,
"Primaria (023)",328,220,69,38,1
"Secundaria (024)",1095,789,171,104,31
"Superior no univ. incompleta (025)",103,62,14,15,12
"Superior no univ. completa (026)",91,51,11,10,19
"Superior univ. incompleta (027)",56,37,8,5,6
"Superior univ. completa (028)",76,31,13,16,16
"De 30 a 44 años (030)",1890,1331,237,183,139
"Sin nivel (031)",121,74,23,24,
"Educación inicial (032)",5,4,1,,
"Primaria (033)",482,365,79,30,8
"Secundaria (034)",812,641,88,67,16
"Superior no univ. incompleta (035)",112,77,16,13,6
"Superior no univ. completa (036)",110,51,6,14,39
"Superior univ. incompleta (037)",93,59,12,7,15
"Superior univ. completa (038)",155,60,12,28,55
"De 45 a 64 años (040)",1583,1293,128,63,99
"Sin nivel (041)",114,90,16,8,
"Primaria (043)",605,546,45,10,4
"Secundaria (044)",529,450,40,19,20
"Superior no univ. incompleta (045)",64,48,7,3,6
"Superior no univ. completa (046)",58,40,6,3,9
"Superior univ. incompleta (047)",57,42,5,2,8
"Superior univ. completa (048)",156,77,9,18,52
"De 65 y más años (050)",656,625,16,6,9
"Sin nivel (051)",57,55,1,1,
"Primaria (053)",403,392,7,3,1
"Secundaria (054)",132,126,3,1,2
"Superior no univ. incompleta (055)",13,12,1,,
"Superior no univ. completa (056)",8,7,,,1
"Superior univ. incompleta (057)",14,11,2,,1
"Superior univ. completa (058)",29,22,2,1,4
,,,,,
"URBANA (060)",2887,2324,172,129,262
"Sin nivel (061)",67,61,2,4,
