"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OXAPAMPA (000)",32420,27175,1775,1439,2031
"Sin nivel (001)",2509,2424,42,22,21
"Educación inicial (002)",37,27,4,3,3
"Primaria (003)",13617,12588,471,278,280
"Secundaria (004)",10597,9036,574,384,603
"Superior no univ. incompleta (005)",1206,887,94,63,162
"Superior no univ. completa (006)",1464,845,150,143,326
"Superior univ. incompleta (007)",816,542,88,56,130
"Superior univ. completa (008)",2174,826,352,490,506
"De 06 a 14 años (010)",1091,1040,45,5,1
"Sin nivel (011)",156,156,,,
"Educación inicial (012)",6,5,1,,
"Primaria (013)",723,689,31,3,
"Secundaria (014)",206,190,13,2,1
"De 15 a 29 años (020)",11688,9886,698,485,619
"Sin nivel (021)",351,343,4,2,2
"Educación inicial (022)",23,16,2,2,3
"Primaria (023)",4151,3837,143,97,74
"Secundaria (024)",5211,4456,324,202,229
"Superior no univ. incompleta (025)",603,450,56,27,70
"Superior no univ. completa (026)",540,332,55,40,113
"Superior univ. incompleta (027)",301,229,28,22,22
"Superior univ. completa (028)",508,223,86,93,106
"De 30 a 44 años (030)",10979,8691,687,654,947
"Sin nivel (031)",535,511,9,9,6
"Educación inicial (032)",8,6,1,1,
"Primaria (033)",4353,3961,162,111,119
"Secundaria (034)",3455,2910,171,124,250
"Superior no univ. incompleta (035)",430,317,29,23,61
"Superior no univ. completa (036)",701,384,83,79,155
"Superior univ. incompleta (037)",337,196,41,26,74
"Superior univ. completa (038)",1160,406,191,281,282
"De 45 a 64 años (040)",6938,5913,318,273,434
"Sin nivel (041)",945,900,27,10,8
"Primaria (043)",3425,3175,118,56,76
"Secundaria (044)",1568,1337,63,51,117
"Superior no univ. incompleta (045)",160,110,8,11,31
"Superior no univ. completa (046)",202,110,12,22,58
"Superior univ. incompleta (047)",161,106,17,8,30
"Superior univ. completa (048)",477,175,73,115,114
"De 65 y más años (050)",1724,1645,27,22,30
"Sin nivel (051)",522,514,2,1,5
"Primaria (053)",965,926,17,11,11
"Secundaria (054)",157,143,3,5,6
"Superior no univ. incompleta (055)",13,10,1,2,
"Superior no univ. completa (056)",21,19,,2,
"Superior univ. incompleta (057)",17,11,2,,4
"Superior univ. completa (058)",29,22,2,1,4
,,,,,
