"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUARAL (000)",2561,521,2040
"Sin nivel (001)",99,6,93
"Educación inicial (002)",1,1,
"Primaria (003)",500,73,427
"Secundaria (004)",1376,316,1060
"Superior no univ. incompleta (005)",157,38,119
"Superior no univ. completa (006)",189,45,144
"Superior univ. incompleta (007)",96,16,80
"Superior univ. completa (008)",143,26,117
"Hombres (010)",1702,293,1409
"Sin nivel (011)",48,1,47
"Primaria (013)",353,39,314
"Secundaria (014)",982,202,780
"Superior no univ. incompleta (015)",88,15,73
"Superior no univ. completa (016)",100,16,84
"Superior univ. incompleta (017)",54,5,49
"Superior univ. completa (018)",77,15,62
"Mujeres (020)",859,228,631
"Sin nivel (021)",51,5,46
"Educación inicial (022)",1,1,
"Primaria (023)",147,34,113
"Secundaria (024)",394,114,280
"Superior no univ. incompleta (025)",69,23,46
"Superior no univ. completa (026)",89,29,60
"Superior univ. incompleta (027)",42,11,31
"Superior univ. completa (028)",66,11,55
,,,
"AREA URBANA (030)",2288,470,1818
"Sin nivel (031)",76,5,71
"Educación inicial (032)",1,1,
"Primaria (033)",437,64,373
"Secundaria (034)",1242,287,955
"Superior no univ. incompleta (035)",145,37,108
"Superior no univ. completa (036)",168,36,132
"Superior univ. incompleta (037)",87,14,73
"Superior univ. completa (038)",132,26,106
"Hombres (040)",1530,270,1260
"Sin nivel (041)",36,,36
"Primaria (043)",312,35,277
"Secundaria (044)",892,187,705
"Superior no univ. incompleta (045)",80,14,66
"Superior no univ. completa (046)",91,14,77
"Superior univ. incompleta (047)",48,5,43
"Superior univ. completa (048)",71,15,56
"Mujeres (050)",758,200,558
"Sin nivel (051)",40,5,35
"Educación inicial (052)",1,1,
"Primaria (053)",125,29,96
"Secundaria (054)",350,100,250
"Superior no univ. incompleta (055)",65,23,42
"Superior no univ. completa (056)",77,22,55
"Superior univ. incompleta (057)",39,9,30
"Superior univ. completa (058)",61,11,50
,,,
"AREA RURAL (060)",273,51,222
"Sin nivel (061)",23,1,22
"Primaria (063)",63,9,54
"Secundaria (064)",134,29,105
"Superior no univ. incompleta (065)",12,1,11
"Superior no univ. completa (066)",21,9,12
"Superior univ. incompleta (067)",9,2,7
"Superior univ. completa (068)",11,,11
"Hombres (070)",172,23,149
"Sin nivel (071)",12,1,11
"Primaria (073)",41,4,37
"Secundaria (074)",90,15,75
"Superior no univ. incompleta (075)",8,1,7
"Superior no univ. completa (076)",9,2,7
"Superior univ. incompleta (077)",6,,6
"Superior univ. completa (078)",6,,6
"Mujeres (080)",101,28,73
"Sin nivel (081)",11,,11
"Primaria (083)",22,5,17
"Secundaria (084)",44,14,30
"Superior no univ. incompleta (085)",4,,4
"Superior no univ. completa (086)",12,7,5
"Superior univ. incompleta (087)",3,2,1
"Superior univ. completa (088)",5,,5
