"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",15527,1264,403,6384,5347,570,793,322,444
"Jefe o Jefa (001)",4275,156,4,1948,1468,137,264,97,201
"Esposa(o)/ compa¤era(o) (002)",3007,119,2,1419,1015,117,223,40,72
"Hijo(a)/ hijastro(a) (003)",6217,743,334,2265,2198,236,200,143,98
"Yerno/ nuera (004)",277,3,,72,120,23,32,8,19
"Nieto(a) (005)",533,121,44,205,130,8,11,7,7
"Padres/ suegros (006)",128,34,,77,12,2,1,,2
"Otro(a) pariente (007)",860,78,14,336,307,28,52,16,29
"Trabajador(a) del hogar (008)",17,1,,7,7,2,,,
"Pensionista (009)",36,,1,13,14,3,2,,3
"Otro(a) no pariente (010)",177,9,4,42,76,14,8,11,13
"Hombres (012)",8168,592,205,3255,3032,262,374,177,271
"Jefe o Jefa (013)",3606,95,3,1605,1301,116,223,86,177
"Esposa(o)/ compa¤era(o) (014)",64,3,,23,30,5,,1,2
"Hijo(a)/ hijastro(a) (015)",3412,369,172,1243,1309,104,100,71,44
"Yerno/ nuera (016)",116,1,,22,54,7,15,3,14
"Nieto(a) (017)",289,65,20,119,72,3,5,3,2
"Padres/ suegros (018)",41,5,,28,5,1,,,2
"Otro(a) pariente (019)",509,48,8,182,202,17,26,7,19
"Trabajador(a) del hogar (020)",1,,,,1,,,,
"Pensionista (021)",28,,,9,12,3,1,,3
"Otro(a) no pariente (022)",102,6,2,24,46,6,4,6,8
"Mujeres (024)",7359,672,198,3129,2315,308,419,145,173
"Jefe o Jefa (025)",669,61,1,343,167,21,41,11,24
"Esposa(o)/ compa¤era(o) (026)",2943,116,2,1396,985,112,223,39,70
"Hijo(a)/ hijastro(a) (027)",2805,374,162,1022,889,132,100,72,54
"Yerno/ nuera (028)",161,2,,50,66,16,17,5,5
"Nieto(a) (029)",244,56,24,86,58,5,6,4,5
"Padres/ suegros (030)",87,29,,49,7,1,1,,
"Otro(a) pariente (031)",351,30,6,154,105,11,26,9,10
"Trabajador(a) del hogar (032)",16,1,,7,6,2,,,
"Pensionista (033)",8,,1,4,2,,1,,
"Otro(a) no pariente (034)",75,3,2,18,30,8,4,5,5
,,,,,,,,,
"URBANA (036)",12071,975,324,4722,4224,491,671,274,390
"Jefe o Jefa (037)",3211,83,4,1356,1160,121,230,78,179
"Esposa(o)/ compa¤era(o) (038)",2325,87,1,1035,824,102,179,35,62
"Hijo(a)/ hijastro(a) (039)",4930,612,265,1762,1710,200,173,124,84
"Yerno/ nuera (040)",215,3,,58,87,19,25,5,18
"Nieto(a) (041)",406,93,38,147,100,5,11,7,5
"Padres/ suegros (042)",101,25,,62,10,2,1,,1
"Otro(a) pariente (043)",697,64,11,252,258,26,44,15,27
"Trabajador(a) del hogar (044)",15,1,,6,6,2,,,
"Pensionista (045)",29,,1,12,9,3,1,,3
"Otro(a) no pariente (046)",142,7,4,32,60,11,7,10,11
"Hombres (048)",6281,448,165,2383,2349,224,321,147,244
