"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia RIOJA (000)",24277,15041,9236
"Red pública de desague dentro de la vivienda (001)",2813,2767,46
"Red pública de desague fuera de la vivienda (002)",794,751,43
"Pozo séptico (003)",2613,2175,438
"Pozo ciego o negro / letrina (004)",16477,8649,7828
"Río, acequia o canal (005)",221,171,50
"No tiene (006)",1359,528,831
,,,
"URBANA (008)",17790,14358,3432
"Red pública de desague dentro de la vivienda (009)",2748,2720,28
"Red pública de desague fuera de la vivienda (010)",782,746,36
"Pozo séptico (011)",2433,2146,287
"Pozo ciego o negro / letrina (012)",10909,8066,2843
"Río, acequia o canal (013)",194,171,23
"No tiene (014)",724,509,215
,,,
"RURAL (016)",6487,683,5804
"Red pública de desague dentro de la vivienda (017)",65,47,18
"Red pública de desague fuera de la vivienda (018)",12,5,7
"Pozo séptico (019)",180,29,151
"Pozo ciego o negro / letrina (020)",5568,583,4985
"Río, acequia o canal (021)",27,,27
"No tiene (022)",635,19,616
