"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TOCACHE (000)",63138,10513,7130,2895,42703
"Hombres (001)",35776,5271,4513,2246,23821
"Mujeres (002)",27362,5242,2617,649,18882
"PEA (003)",30224,1166,4634,1387,23119
"Hombres (004)",23625,800,3549,1204,18137
"Mujeres (005)",6599,366,1085,183,4982
"Ocupada (006)",29486,1128,4589,1370,22481
"Hombres (007)",23032,773,3517,1187,17620
"Mujeres (008)",6454,355,1072,183,4861
"Desocupada (009)",738,38,45,17,638
"Hombres (010)",593,27,32,17,517
"Mujeres (011)",145,11,13,,121
"No PEA (012)",32914,9347,2496,1508,19584
"Hombres (013)",12151,4471,964,1042,5684
"Mujeres (014)",20763,4876,1532,466,13900
,,,,,
"URBANA (018)",32281,4478,5153,2420,20320
"Hombres (019)",17589,2177,2981,1914,10581
"Mujeres (020)",14692,2301,2172,506,9739
"PEA (021)",15501,636,3143,1215,10582
"Hombres (022)",10990,402,2206,1052,7388
"Mujeres (023)",4511,234,937,163,3194
"Ocupada (024)",15070,621,3103,1200,10221
"Hombres (025)",10659,394,2177,1037,7109
"Mujeres (026)",4411,227,926,163,3112
"Desocupada (027)",431,15,40,15,361
"Hombres (028)",331,8,29,15,279
"Mujeres (029)",100,7,11,,82
"No PEA (030)",16780,3842,2010,1205,9738
"Hombres (031)",6599,1775,775,862,3193
"Mujeres (032)",10181,2067,1235,343,6545
,,,,,
"RURAL (036)",30857,6035,1977,475,22383
"Hombres (037)",18187,3094,1532,332,13240
"Mujeres (038)",12670,2941,445,143,9143
"PEA (039)",14723,530,1491,172,12537
"Hombres (040)",12635,398,1343,152,10749
"Mujeres (041)",2088,132,148,20,1788
"Ocupada (042)",14416,507,1486,170,12260
"Hombres (043)",12373,379,1340,150,10511
"Mujeres (044)",2043,128,146,20,1749
"Desocupada (045)",307,23,5,2,277
"Hombres (046)",262,19,3,2,238
"Mujeres (047)",45,4,2,,39
"No PEA (048)",16134,5505,486,303,9846
"Hombres (049)",5552,2696,189,180,2491
"Mujeres (050)",10582,2809,297,123,7355
