"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BAGUA (000)",395,387,8
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",111,109,2
"Hospital, clinica (004)",72,72,
"Cárcel, centro de readaptación social (005)",3,3,
"Aldea infantil, orfelinato, etc (007)",29,29,
"Otro (008)",36,36,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",144,138,6
