"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PIURA (000)",661787,13814,196840,184136,131378,97137,38482
"Casa independiente (001)",636756,13175,189231,176994,125923,93966,37467
"Departamento en edificio (002)",8660,171,1996,2289,2065,1626,513
"Vivienda en quinta (003)",1325,33,341,371,314,209,57
"Vivienda en casa de vecindad (004)",1064,38,316,275,249,144,42
"Choza o cabaña (005)",4128,101,1368,1135,767,492,265
"Vivienda improvisada (006)",9507,288,3513,2977,1973,632,124
"Local no destinado para hab.humana (007)",274,2,52,77,73,57,13
"Otro tipo (008)",73,6,23,18,14,11,1
,,,,,,,
"URBANA (009)",569042,11581,165885,158743,114372,85351,33110
"Casa independiente (010)",548157,11044,159648,152744,109686,82674,32361
"Departamento en edificio (011)",8660,171,1996,2289,2065,1626,513
"Vivienda en quinta (012)",1325,33,341,371,314,209,57
"Vivienda en casa de vecindad (013)",1064,38,316,275,249,144,42
"Vivienda improvisada (015)",9507,288,3513,2977,1973,632,124
"Local no destinado para hab.humana (016)",258,1,48,70,72,55,12
"Otro tipo (017)",71,6,23,17,13,11,1
,,,,,,,
"RURAL (018)",92745,2233,30955,25393,17006,11786,5372
"Casa independiente (019)",88599,2131,29583,24250,16237,11292,5106
"Choza o cabaña (023)",4128,101,1368,1135,767,492,265
"Local no destinado para hab.humana (025)",16,1,4,7,1,2,1
"Otro tipo (026)",2,,,1,1,,
