"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia HUAMANGA",,,,,,,,,
"Viviendas particulares (001)",52332,29145,7102,2842,188,1413,8079,2163,1400
"Ocupantes presentes (002)",217703,130501,28746,10057,601,5332,30424,7132,4910
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",46735,26633,5866,2574,156,1295,6864,1969,1378
"Ocupantes presentes (005)",197433,120851,24822,9060,500,4922,25976,6454,4848
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",656,553,102,,,,,1,
"Ocupantes presentes (008)",2347,2006,337,,,,,4,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1815,1322,462,,,,,31,
"Ocupantes presentes (011)",6808,5236,1475,,,,,97,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",1306,606,665,12,,1,,19,3
"Ocupantes presentes (014)",4471,2294,2075,29,,2,,65,6
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1754,,,255,30,117,1201,133,18
"Ocupantes presentes (017)",6404,,,958,96,408,4408,479,55
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",15,5,3,1,,,,6,
"Ocupantes presentes (020)",94,29,27,10,,,,28,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",46,26,4,,1,,10,4,1
"Ocupantes presentes (023)",136,85,10,,4,,31,5,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",5,,,,1,,4,,
"Ocupantes presentes (026)",10,,,,1,,9,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",36980,27452,4942,1632,62,266,790,1375,461
"Ocupantes presentes (029)",157988,123386,19315,5104,174,980,2925,4567,1537
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",33149,24941,3708,1619,61,265,783,1315,457
"Ocupantes presentes (032)",144157,113738,15398,5065,170,978,2908,4370,1530
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",656,553,102,,,,,1,
"Ocupantes presentes (035)",2347,2006,337,,,,,4,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1815,1322,462,,,,,31,
"Ocupantes presentes (038)",6808,5236,1475,,,,,97,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",1306,606,665,12,,1,,19,3
"Ocupantes presentes (041)",4471,2294,2075,29,,2,,65,6
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",15,5,3,1,,,,6,
"Ocupantes presentes (047)",94,29,27,10,,,,28,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",35,25,2,,1,,3,3,1
"Ocupantes presentes (050)",102,83,3,,4,,8,3,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",4,,,,,,4,,
"Ocupantes presentes (053)",9,,,,,,9,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",15352,1693,2160,1210,126,1147,7289,788,939
"Ocupantes presentes (056)",59715,7115,9431,4953,427,4352,27499,2565,3373
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",13586,1692,2158,955,95,1030,6081,654,921
"Ocupantes presentes (059)",53276,7113,9424,3995,330,3944,23068,2084,3318
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1754,,,255,30,117,1201,133,18
"Ocupantes presentes (071)",6404,,,958,96,408,4408,479,55
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",11,1,2,,,,7,1,
"Ocupantes presentes (077)",34,2,7,,,,23,2,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,1,,,,
"Ocupantes presentes (080)",1,,,,1,,,,
