"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",21536,6503,830,7992,4062,549,914,281,405
"Jefe o Jefa (001)",5444,2184,9,1635,762,123,428,76,227
"Esposa(o)/ compa¤era(o) (002)",3730,1848,21,1041,458,82,194,23,63
"Hijo(a)/ hijastro(a) (003)",9877,1549,664,4523,2414,296,202,161,68
"Yerno/ nuera (004)",275,30,3,75,86,13,37,6,25
"Nieto(a) (005)",853,223,96,383,137,6,3,4,1
"Padres/ suegros (006)",366,340,,23,1,,2,,
"Otro(a) pariente (007)",858,291,33,280,173,25,35,10,11
"Trabajador(a) del hogar (008)",21,10,,9,1,,1,,
"Pensionista (009)",4,1,,,3,,,,
"Otro(a) no pariente (010)",108,27,4,23,27,4,12,1,10
"Hombres (012)",10541,2355,396,4147,2275,318,571,184,295
"Jefe o Jefa (013)",3815,1114,6,1321,648,108,350,64,204
"Esposa(o)/ compa¤era(o) (014)",440,136,1,139,78,14,41,11,20
"Hijo(a)/ hijastro(a) (015)",5121,763,315,2297,1314,177,119,95,41
"Yerno/ nuera (016)",132,7,3,29,38,5,30,4,16
"Nieto(a) (017)",430,117,51,182,72,2,3,2,1
"Padres/ suegros (018)",91,75,,13,1,,2,,
"Otro(a) pariente (019)",447,131,16,151,104,10,21,7,7
"Trabajador(a) del hogar (020)",3,1,,1,1,,,,
"Pensionista (021)",2,,,,2,,,,
"Otro(a) no pariente (022)",60,11,4,14,17,2,5,1,6
"Mujeres (024)",10995,4148,434,3845,1787,231,343,97,110
"Jefe o Jefa (025)",1629,1070,3,314,114,15,78,12,23
"Esposa(o)/ compa¤era(o) (026)",3290,1712,20,902,380,68,153,12,43
"Hijo(a)/ hijastro(a) (027)",4756,786,349,2226,1100,119,83,66,27
"Yerno/ nuera (028)",143,23,,46,48,8,7,2,9
"Nieto(a) (029)",423,106,45,201,65,4,,2,
"Padres/ suegros (030)",275,265,,10,,,,,
"Otro(a) pariente (031)",411,160,17,129,69,15,14,3,4
"Trabajador(a) del hogar (032)",18,9,,8,,,1,,
"Pensionista (033)",2,1,,,1,,,,
"Otro(a) no pariente (034)",48,16,,9,10,2,7,,4
,,,,,,,,,
"URBANA (036)",2622,442,77,715,601,183,341,82,181
"Jefe o Jefa (037)",726,115,2,129,125,57,166,26,106
"Esposa(o)/ compa¤era(o) (038)",466,92,1,107,90,44,88,12,32
"Hijo(a)/ hijastro(a) (039)",1043,141,62,376,291,66,51,38,18
"Yerno/ nuera (040)",47,1,,3,17,1,13,1,11
"Nieto(a) (041)",107,24,11,50,18,2,1,1,
"Padres/ suegros (042)",56,45,,9,,,2,,
"Otro(a) pariente (043)",110,14,,26,42,9,9,3,7
"Trabajador(a) del hogar (044)",11,5,,4,1,,1,,
"Otro(a) no pariente (046)",56,5,1,11,17,4,10,1,7
"Hombres (048)",1290,150,43,319,329,85,183,50,131
"Jefe o Jefa (049)",522,38,2,79,107,48,129,21,98
