"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANGARAES (000)",55528,1184,22593,13002,8426,7081,3242
"Casa independiente (001)",51169,1082,20925,11954,7791,6496,2921
"Departamento en edificio (002)",31,,10,9,8,4,
"Vivienda en quinta (003)",420,6,124,145,89,42,14
"Vivienda en casa de vecindad (004)",136,2,43,51,19,13,8
"Choza o cabaña (005)",3716,92,1475,830,513,512,294
"Vivienda improvisada (006)",2,,,1,,1,
"Local no destinado para hab.humana (007)",50,2,16,10,6,12,4
"Otro tipo (008)",4,,,2,,1,1
,,,,,,,
"URBANA (009)",15911,268,5647,3969,2814,2264,949
"Casa independiente (010)",15277,258,5455,3754,2694,2193,923
"Departamento en edificio (011)",31,,10,9,8,4,
"Vivienda en quinta (012)",420,6,124,145,89,42,14
"Vivienda en casa de vecindad (013)",136,2,43,51,19,13,8
"Vivienda improvisada (015)",2,,,1,,1,
"Local no destinado para hab.humana (016)",45,2,15,9,4,11,4
,,,,,,,
"RURAL (018)",39617,916,16946,9033,5612,4817,2293
"Casa independiente (019)",35892,824,15470,8200,5097,4303,1998
"Choza o cabaña (023)",3716,92,1475,830,513,512,294
"Local no destinado para hab.humana (025)",5,,1,1,2,1,
"Otro tipo (026)",4,,,2,,1,1
