"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia AYABACA (000)",93623,18214,16827,16481,14157,10970,16974
"Católica (001)",83284,16316,15161,14721,12495,9655,14936
"Cristiana/Evangélica (002)",8577,1591,1295,1443,1375,1106,1767
"Otra (003)",824,132,148,120,143,123,158
"Ninguna (004)",938,175,223,197,144,86,113
"Hombres (006)",48063,9418,9027,8351,7016,5552,8699
"Católica (007)",43062,8478,8220,7527,6248,4935,7654
"Cristiana/Evangélica (008)",4028,793,600,635,603,500,897
"Otra (009)",406,55,76,62,66,64,83
"Ninguna (010)",567,92,131,127,99,53,65
"Mujeres (012)",45560,8796,7800,8130,7141,5418,8275
"Católica (013)",40222,7838,6941,7194,6247,4720,7282
"Cristiana/Evangélica (014)",4549,798,695,808,772,606,870
"Otra (015)",418,77,72,58,77,59,75
"Ninguna (016)",371,83,92,70,45,33,48
,,,,,,,
"URBANA (018)",12162,2015,2124,2275,2089,1602,2057
"Católica (019)",11079,1838,1937,2054,1891,1480,1879
"Cristiana/Evangélica (020)",792,147,119,153,145,87,141
"Otra (021)",177,15,41,40,30,27,24
"Ninguna (022)",114,15,27,28,23,8,13
"Hombres (024)",6037,932,1113,1133,1009,825,1025
"Católica (025)",5493,839,1015,1031,914,762,932
"Cristiana/Evangélica (026)",368,78,58,58,64,42,68
"Otra (027)",92,5,23,25,12,13,14
"Ninguna (028)",84,10,17,19,19,8,11
"Mujeres (030)",6125,1083,1011,1142,1080,777,1032
"Católica (031)",5586,999,922,1023,977,718,947
"Cristiana/Evangélica (032)",424,69,61,95,81,45,73
"Otra (033)",85,10,18,15,18,14,10
"Ninguna (034)",30,5,10,9,4,,2
,,,,,,,
"RURAL (036)",81461,16199,14703,14206,12068,9368,14917
"Católica (037)",72205,14478,13224,12667,10604,8175,13057
"Cristiana/Evangélica (038)",7785,1444,1176,1290,1230,1019,1626
"Otra (039)",647,117,107,80,113,96,134
"Ninguna (040)",824,160,196,169,121,78,100
"Hombres (042)",42026,8486,7914,7218,6007,4727,7674
"Católica (043)",37569,7639,7205,6496,5334,4173,6722
"Cristiana/Evangélica (044)",3660,715,542,577,539,458,829
"Otra (045)",314,50,53,37,54,51,69
"Ninguna (046)",483,82,114,108,80,45,54
"Mujeres (048)",39435,7713,6789,6988,6061,4641,7243
"Católica (049)",34636,6839,6019,6171,5270,4002,6335
"Cristiana/Evangélica (050)",4125,729,634,713,691,561,797
"Otra (051)",333,67,54,43,59,45,65
"Ninguna (052)",341,78,82,61,41,33,46
