"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TUMBES (000)",133459,6103,27624,27833,23626,19678,13842,7386,7367
"Quechua (001)",186,2,19,20,36,48,29,18,14
"Aymara (002)",44,4,10,8,8,4,8,1,1
"Ashaninca (003)",18,1,6,4,2,1,2,1,1
"Otra lengua nativa (004)",80,,1,73,6,,,,
"Castellano (005)",132926,6093,27535,27682,23534,19597,13785,7357,7343
"Idioma extranjero (006)",21,,2,2,4,4,5,3,1
"Es sordomudo/a (007)",184,3,51,44,36,24,13,6,7
"Hombres (009)",68492,3132,14082,14406,11745,10008,7330,3911,3878
"Quechua (010)",117,1,8,8,21,36,18,12,13
"Aymara (011)",29,1,7,6,5,4,5,,1
"Ashaninca (012)",8,,2,2,1,,1,1,1
"Otra lengua nativa (013)",80,,1,73,6,,,,
"Castellano (014)",68143,3129,14039,14286,11694,9955,7290,3892,3858
"Idioma extranjero (015)",12,,1,,1,2,5,2,1
"Es sordomudo/a (016)",103,1,24,31,17,11,11,4,4
"Mujeres (018)",64967,2971,13542,13427,11881,9670,6512,3475,3489
"Quechua (019)",69,1,11,12,15,12,11,6,1
"Aymara (020)",15,3,3,2,3,,3,1,
"Ashaninca (021)",10,1,4,2,1,1,1,,
"Castellano (023)",64783,2964,13496,13396,11840,9642,6495,3465,3485
"Idioma extranjero (024)",9,,1,2,3,2,,1,
"Es sordomudo/a (025)",81,2,27,13,19,13,2,2,3
,,,,,,,,,
"URBANA (027)",122893,5668,25551,25631,21854,18203,12782,6689,6515
"Quechua (028)",180,2,18,20,35,44,29,18,14
"Aymara (029)",39,4,8,6,7,4,8,1,1
"Ashaninca (030)",18,1,6,4,2,1,2,1,1
"Otra lengua nativa (031)",80,,1,73,6,,,,
"Castellano (032)",122390,5658,25467,25486,21767,18131,12727,6661,6493
"Idioma extranjero (033)",20,,2,2,4,4,4,3,1
"Es sordomudo/a (034)",166,3,49,40,33,19,12,5,5
"Hombres (036)",62960,2904,13049,13273,10823,9236,6763,3539,3373
"Quechua (037)",115,1,8,8,20,35,18,12,13
"Aymara (038)",25,1,6,4,4,4,5,,1
"Ashaninca (039)",8,,2,2,1,,1,1,1
"Otra lengua nativa (040)",80,,1,73,6,,,,
"Castellano (041)",62630,2901,13007,13158,10775,9188,6725,3521,3355
"Idioma extranjero (042)",11,,1,,1,2,4,2,1
"Es sordomudo/a (043)",91,1,24,28,16,7,10,3,2
"Mujeres (045)",59933,2764,12502,12358,11031,8967,6019,3150,3142
"Quechua (046)",65,1,10,12,15,9,11,6,1
"Aymara (047)",14,3,2,2,3,,3,1,
"Ashaninca (048)",10,1,4,2,1,1,1,,
"Castellano (050)",59760,2757,12460,12328,10992,8943,6002,3140,3138
"Idioma extranjero (051)",9,,1,2,3,2,,1,
"Es sordomudo/a (052)",75,2,25,12,17,12,2,2,3
,,,,,,,,,
"RURAL (054)",10566,435,2073,2202,1772,1475,1060,697,852
"Quechua (055)",6,,1,,1,4,,,
"Aymara (056)",5,,2,2,1,,,,
"Castellano (059)",10536,435,2068,2196,1767,1466,1058,696,850
"Idioma extranjero (060)",1,,,,,,1,,
"Es sordomudo/a (061)",18,,2,4,3,5,1,1,2
"Hombres (063)",5532,228,1033,1133,922,772,567,372,505
"Quechua (064)",2,,,,1,1,,,
"Aymara (065)",4,,1,2,1,,,,
"Castellano (068)",5513,228,1032,1128,919,767,565,371,503
"Idioma extranjero (069)",1,,,,,,1,,
"Es sordomudo/a (070)",12,,,3,1,4,1,1,2
"Mujeres (072)",5034,207,1040,1069,850,703,493,325,347
"Quechua (073)",4,,1,,,3,,,
"Aymara (074)",1,,1,,,,,,
"Castellano (077)",5023,207,1036,1068,848,699,493,325,347
"Es sordomudo/a (079)",6,,2,1,2,1,,,
