"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YUNGAY (000)",34,28,6
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",11,11,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",4,3,1
"Aldea infantil, orfelinato, etc (007)",2,1,1
"Otro (008)",12,10,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",4,2,2
