"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia CHINCHEROS",,,,,,,
"Viviendas particulares (001)",13194,702,409,382,8713,122,2866
"Ocupantes presentes (002)",51325,2830,1593,1700,36374,439,8389
"Casa independiente",,,,,,,
"Viviendas particulares (004)",12923,686,398,380,8654,117,2688
"Ocupantes presentes (005)",50712,2772,1553,1697,36249,423,8018
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",1,1,,,,,
"Ocupantes presentes (008)",6,6,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",2,,,,,,2
"Ocupantes presentes (011)",9,,,,,,9
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",30,15,11,,,,4
"Ocupantes presentes (014)",109,52,40,,,,17
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",228,,,2,55,5,166
"Ocupantes presentes (017)",459,,,3,114,16,326
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",2,,,,,,2
"Ocupantes presentes (020)",4,,,,,,4
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",7,,,,4,,3
"Ocupantes presentes (023)",19,,,,11,,8
"Otro tipo",,,,,,,
"Viviendas particulares (025)",1,,,,,,1
"Ocupantes presentes (026)",7,,,,,,7
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",4158,638,387,195,2211,55,672
"Ocupantes presentes (029)",16336,2568,1513,866,9042,221,2126
"Casa independiente",,,,,,,
"Viviendas particulares (031)",4121,622,376,195,2210,55,663
"Ocupantes presentes (032)",16201,2510,1473,866,9039,221,2092
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",1,1,,,,,
"Ocupantes presentes (035)",6,6,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",2,,,,,,2
"Ocupantes presentes (038)",9,,,,,,9
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",30,15,11,,,,4
"Ocupantes presentes (041)",109,52,40,,,,17
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",2,,,,,,2
"Ocupantes presentes (047)",4,,,,,,4
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",2,,,,1,,1
"Ocupantes presentes (050)",7,,,,3,,4
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",9036,64,22,187,6502,67,2194
"Ocupantes presentes (056)",34989,262,80,834,27332,218,6263
"Casa independiente",,,,,,,
"Viviendas particulares (058)",8802,64,22,185,6444,62,2025
"Ocupantes presentes (059)",34511,262,80,831,27210,202,5926
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",228,,,2,55,5,166
"Ocupantes presentes (071)",459,,,3,114,16,326
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",5,,,,3,,2
"Ocupantes presentes (077)",12,,,,8,,4
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,,,1
"Ocupantes presentes (080)",7,,,,,,7
