"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PARURO (000)",29001,17881,943,360,9846
"Quechua (001)",26707,16693,614,289,9133
"Aymara (002)",53,29,6,2,17
"Asháninka (003)",5,4,1,1,
"Otra lengua nativa (004)",1,,,,1
"Castellano (005)",2192,1136,321,67,673
"Idioma Extranjero (006)",1,,,1,
"Es Sordomudo/a (007)",42,19,1,,22
"Hombres (009)",14783,8905,534,219,5144
"Quechua (010)",13505,8261,359,171,4728
"Aymara (011)",24,9,5,2,9
"Otra lengua nativa (013)",1,,,,1
"Castellano (014)",1222,621,169,45,391
"Idioma Extranjero (015)",1,,,1,
"Es Sordomudo/a (016)",30,14,1,,15
"Mujeres (018)",14218,8976,409,141,4702
"Quechua (019)",13202,8432,255,118,4405
"Aymara (020)",29,20,1,,8
"Asháninka (021)",5,4,1,1,
"Castellano (023)",970,515,152,22,282
"Es Sordomudo/a (025)",12,5,,,7
,,,,,
"URBANA (027)",10020,4828,613,183,4409
"Quechua (028)",8359,4003,341,132,3892
"Aymara (029)",20,5,5,,10
"Asháninka (030)",4,3,1,1,
"Castellano (032)",1627,812,266,50,502
"Es Sordomudo/a (034)",10,5,,,5
"Hombres (036)",5066,2419,326,119,2211
"Quechua (037)",4185,1983,194,86,1929
"Aymara (038)",11,2,4,,5
"Castellano (041)",862,430,128,33,273
"Es Sordomudo/a (043)",8,4,,,4
"Mujeres (045)",4954,2409,287,64,2198
"Quechua (046)",4174,2020,147,46,1963
"Aymara (047)",9,3,1,,5
"Asháninka (048)",4,3,1,1,
"Castellano (050)",765,382,138,17,229
"Es Sordomudo/a (052)",2,1,,,1
,,,,,
"RURAL (054)",18981,13053,330,177,5437
"Quechua (055)",18348,12690,273,157,5241
"Aymara (056)",33,24,1,2,7
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",565,324,55,17,171
"Idioma Extranjero (060)",1,,,1,
"Es Sordomudo/a (061)",32,14,1,,17
"Hombres (063)",9717,6486,208,100,2933
"Quechua (064)",9320,6278,165,85,2799
"Aymara (065)",13,7,1,2,4
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",360,191,41,12,118
"Idioma Extranjero (069)",1,,,1,
"Es Sordomudo/a (070)",22,10,1,,11
"Mujeres (072)",9264,6567,122,77,2504
"Quechua (073)",9028,6412,108,72,2442
"Aymara (074)",20,17,,,3
"Asháninka (075)",1,1,,,
"Castellano (077)",205,133,14,5,53
"Es Sordomudo/a (079)",10,4,,,6
