"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCAYO (000)",126376,945,38155,43027,18980,7045,2901,890,145,,14288
"Conviviente (001)",31601,243,10649,11536,4371,1312,405,99,11,,2975
"Separado(a) (002)",8662,103,2751,3101,1408,510,225,49,16,,499
"Casado(a) (003)",57578,347,17846,20608,9664,3616,1467,491,64,,3475
"Viudo(a) (004)",12003,157,4254,4025,1492,613,373,159,35,,895
"Divorciado(a) (005)",1231,18,340,422,219,80,53,13,,,86
"Soltero(a) (006)",15301,77,2315,3335,1826,914,378,79,19,,6358
,,,,,,,,,,,
"URBANA (008)",112266,827,32765,38176,17510,6554,2685,799,128,,12822
"Conviviente (009)",28391,224,9301,10471,4072,1211,382,91,11,,2628
"Separado(a) (010)",7789,92,2411,2802,1304,473,204,43,14,,446
"Casado(a) (011)",50357,292,14958,17967,8889,3386,1364,434,53,,3014
"Viudo(a) (012)",10390,141,3689,3428,1309,539,332,143,31,,778
"Divorciado(a) (013)",1143,14,316,397,203,75,49,13,,,76
"Soltero(a) (014)",14196,64,2090,3111,1733,870,354,75,19,,5880
,,,,,,,,,,,
"RURAL (016)",14110,118,5390,4851,1470,491,216,91,17,,1466
"Conviviente (017)",3210,19,1348,1065,299,101,23,8,,,347
"Separado(a) (018)",873,11,340,299,104,37,21,6,2,,53
"Casado(a) (019)",7221,55,2888,2641,775,230,103,57,11,,461
"Viudo(a) (020)",1613,16,565,597,183,74,41,16,4,,117
"Divorciado(a) (021)",88,4,24,25,16,5,4,,,,10
"Soltero(a) (022)",1105,13,225,224,93,44,24,4,,,478
