"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANTIAGO DE CHUCO (000)",58320,17837,8815,1150,31055
"Menos de 1 año (001)",1426,896,141,6,383
"De 1 a 14 años (002)",20788,13046,2659,157,4942
"De 15 a 29 años (003)",14159,2145,1962,285,9902
"De 30 a 44 años (004)",10558,953,2641,463,6773
"De 45 a 64 años (005)",7339,522,1184,204,5540
"De 65 y mas años (006)",4050,275,228,35,3515
"Hombres (008)",29797,8566,5390,909,15438
"Menos de 1 año (009)",720,464,74,4,178
"De 1 a 14 años (010)",10504,6597,1330,73,2513
"De 15 a 29 años (011)",7376,864,1282,230,5122
"De 30 a 44 años (012)",5640,305,1813,411,3374
"De 45 a 64 años (013)",3678,208,779,171,2629
"De 65 y mas años (014)",1879,128,112,20,1622
"Mujeres (016)",28523,9271,3425,241,15617
"Menos de 1 año (017)",706,432,67,2,205
"De 1 a 14 años (018)",10284,6449,1329,84,2429
"De 15 a 29 años (019)",6783,1281,680,55,4780
"De 30 a 44 años (020)",4918,648,828,52,3399
"De 45 a 64 años (021)",3661,314,405,33,2911
"De 65 y mas años (022)",2171,147,116,15,1893
,,,,,
"URBANA (024)",19966,3945,5811,410,9831
"Menos de 1 año (025)",434,182,116,2,134
"De 1 a 14 años (026)",6778,2549,2163,116,1961
"De 15 a 29 años (027)",5015,670,1041,87,3224
"De 30 a 44 años (028)",3852,260,1509,120,1971
"De 45 a 64 años (029)",2619,179,814,62,1569
"De 65 y mas años (030)",1268,105,168,23,972
"Hombres (032)",9564,1812,2993,246,4536
"Menos de 1 año (033)",215,90,60,1,64
"De 1 a 14 años (034)",3355,1246,1095,52,969
"De 15 a 29 años (035)",2398,262,515,56,1570
"De 30 a 44 años (036)",1843,95,798,85,872
"De 45 a 64 años (037)",1214,70,450,38,660
"De 65 y mas años (038)",539,49,75,14,401
"Mujeres (040)",10402,2133,2818,164,5295
"Menos de 1 año (041)",219,92,56,1,70
"De 1 a 14 años (042)",3423,1303,1068,64,992
"De 15 a 29 años (043)",2617,408,526,31,1654
"De 30 a 44 años (044)",2009,165,711,35,1099
"De 45 a 64 años (045)",1405,109,364,24,909
"De 65 y mas años (046)",729,56,93,9,571
,,,,,
"RURAL (048)",38354,13892,3004,740,21224
"Menos de 1 año (049)",992,714,25,4,249
"De 1 a 14 años (050)",14010,10497,496,41,2981
"De 15 a 29 años (051)",9144,1475,921,198,6678
"De 30 a 44 años (052)",6706,693,1132,343,4802
"De 45 a 64 años (053)",4720,343,370,142,3971
"De 65 y mas años (054)",2782,170,60,12,2543
"Hombres (056)",20233,6754,2397,663,10902
"Menos de 1 año (057)",505,374,14,3,114
"De 1 a 14 años (058)",7149,5351,235,21,1544
"De 15 a 29 años (059)",4978,602,767,174,3552
"De 30 a 44 años (060)",3797,210,1015,326,2502
"De 45 a 64 años (061)",2464,138,329,133,1969
"De 65 y mas años (062)",1340,79,37,6,1221
"Mujeres (064)",18121,7138,607,77,10322
"Menos de 1 año (065)",487,340,11,1,135
"De 1 a 14 años (066)",6861,5146,261,20,1437
"De 15 a 29 años (067)",4166,873,154,24,3126
"De 30 a 44 años (068)",2909,483,117,17,2300
"De 45 a 64 años (069)",2256,205,41,9,2002
"De 65 y mas años (070)",1442,91,23,6,1322
