"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION",,,,,,,,,
"Viviendas particulares (001)",10984,4610,4426,1069,526,134,90,59,70
"Ocupantes presentes (002)",47634,18078,19495,5449,2721,721,457,260,453
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",10278,4196,4220,1021,510,125,90,50,66
"Ocupantes presentes (005)",44319,16246,18437,5202,2619,675,457,246,437
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",6,3,3,,,,,,
"Ocupantes presentes (008)",16,9,7,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",128,54,36,9,10,6,,9,4
"Ocupantes presentes (011)",581,195,200,53,75,28,,14,16
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",115,36,54,20,3,2,,,
"Ocupantes presentes (014)",514,148,250,91,12,13,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",445,313,110,19,2,1,,,
"Ocupantes presentes (017)",2158,1453,583,103,14,5,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",9,5,3,,1,,,,
"Ocupantes presentes (023)",36,17,18,,1,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",3,3,,,,,,,
"Ocupantes presentes (026)",10,10,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6558,1860,3142,828,424,115,82,42,65
"Ocupantes presentes (029)",27802,6408,13328,4218,2207,609,411,195,426
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6304,1763,3049,799,410,107,82,33,61
"Ocupantes presentes (032)",26675,6041,12871,4074,2119,568,411,181,410
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",6,3,3,,,,,,
"Ocupantes presentes (035)",16,9,7,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",128,54,36,9,10,6,,9,4
"Ocupantes presentes (038)",581,195,200,53,75,28,,14,16
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",115,36,54,20,3,2,,,
"Ocupantes presentes (041)",514,148,250,91,12,13,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,2,,,1,,,,
"Ocupantes presentes (050)",10,9,,,1,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",2,2,,,,,,,
"Ocupantes presentes (053)",6,6,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",4426,2750,1284,241,102,19,8,17,5
"Ocupantes presentes (056)",19832,11670,6167,1231,514,112,46,65,27
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3974,2433,1171,222,100,18,8,17,5
"Ocupantes presentes (059)",17644,10205,5566,1128,500,107,46,65,27
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",445,313,110,19,2,1,,,
"Ocupantes presentes (071)",2158,1453,583,103,14,5,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",6,3,3,,,,,,
"Ocupantes presentes (077)",26,8,18,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,,
"Ocupantes presentes (080)",4,4,,,,,,,
