"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TAHUAMANU (000)",10123,1262,3025,559,5294
"Quechua (001)",897,59,150,27,663
"Aymara (002)",166,11,20,5,130
"Asháninka (003)",7,1,1,,5
"Otra lengua nativa (004)",74,9,2,1,62
"Castellano (005)",8870,1172,2846,524,4343
"Idioma Extranjero (006)",94,6,6,2,80
"Es Sordomudo/a (007)",15,4,,,11
"Hombres (009)",6128,631,2071,447,2988
"Quechua (010)",553,28,113,20,393
"Aymara (011)",93,6,12,5,70
"Asháninka (012)",4,,1,,3
"Otra lengua nativa (013)",45,7,1,1,36
"Castellano (014)",5380,585,1941,419,2443
"Idioma Extranjero (015)",45,3,3,2,37
"Es Sordomudo/a (016)",8,2,,,6
"Mujeres (018)",3995,631,954,112,2306
"Quechua (019)",344,31,37,7,270
"Aymara (020)",73,5,8,,60
"Asháninka (021)",3,1,,,2
"Otra lengua nativa (022)",29,2,1,,26
"Castellano (023)",3490,587,905,105,1900
"Idioma Extranjero (024)",49,3,3,,43
"Es Sordomudo/a (025)",7,2,,,5
,,,,,
"URBANA (027)",7164,805,2483,502,3390
"Quechua (028)",389,18,111,20,242
"Aymara (029)",43,2,12,2,27
"Asháninka (030)",7,1,1,,5
"Otra lengua nativa (031)",72,8,2,1,61
"Castellano (032)",6606,770,2351,477,3022
"Idioma Extranjero (033)",39,3,6,2,28
"Es Sordomudo/a (034)",8,3,,,5
"Hombres (036)",4217,397,1638,404,1786
"Quechua (037)",235,10,83,17,126
"Aymara (038)",30,1,8,2,19
"Asháninka (039)",4,,1,,3
"Otra lengua nativa (040)",44,6,1,1,36
"Castellano (041)",3884,376,1542,382,1591
"Idioma Extranjero (042)",14,2,3,2,7
"Es Sordomudo/a (043)",6,2,,,4
"Mujeres (045)",2947,408,845,98,1604
"Quechua (046)",154,8,28,3,116
"Aymara (047)",13,1,4,,8
"Asháninka (048)",3,1,,,2
"Otra lengua nativa (049)",28,2,1,,25
"Castellano (050)",2722,394,809,95,1431
"Idioma Extranjero (051)",25,1,3,,21
"Es Sordomudo/a (052)",2,1,,,1
,,,,,
"RURAL (054)",2959,457,542,57,1904
"Quechua (055)",508,41,39,7,421
"Aymara (056)",123,9,8,3,103
"Otra lengua nativa (058)",2,1,,,1
"Castellano (059)",2264,402,495,47,1321
"Idioma Extranjero (060)",55,3,,,52
"Es Sordomudo/a (061)",7,1,,,6
"Hombres (063)",1911,234,433,43,1202
"Quechua (064)",318,18,30,3,267
"Aymara (065)",63,5,4,3,51
"Otra lengua nativa (067)",1,1,,,
"Castellano (068)",1496,209,399,37,852
"Idioma Extranjero (069)",31,1,,,30
"Es Sordomudo/a (070)",2,,,,2
"Mujeres (072)",1048,223,109,14,702
"Quechua (073)",190,23,9,4,154
"Aymara (074)",60,4,4,,52
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",768,193,96,10,469
"Idioma Extranjero (078)",24,2,,,22
"Es Sordomudo/a (079)",5,1,,,4
