"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",2454,28,1272,787,315,52
"Sin nivel (001)",120,3,28,24,42,23
"Educación inicial (002)",9,1,6,2,,
"Primaria (003)",780,14,261,298,183,24
"Secundaria (004)",1315,10,829,394,77,5
"Superior no univ. incompleta (005)",59,,42,12,5,
"Superior no univ. completa (006)",74,,44,26,4,
"Superior univ. incompleta (007)",32,,23,8,1,
"Superior univ. completa (008)",65,,39,23,3,
"Hombres (010)",1868,20,888,649,268,43
"Sin nivel (011)",78,2,20,16,26,14
"Educación inicial (012)",4,,3,1,,
"Primaria (013)",576,8,158,228,158,24
"Secundaria (014)",1039,10,604,347,73,5
"Superior no univ. incompleta (015)",51,,35,12,4,
"Superior no univ. completa (016)",51,,25,23,3,
"Superior univ. incompleta (017)",27,,19,7,1,
"Superior univ. completa (018)",42,,24,15,3,
"Mujeres (020)",586,8,384,138,47,9
"Sin nivel (021)",42,1,8,8,16,9
"Educación inicial (022)",5,1,3,1,,
"Primaria (023)",204,6,103,70,25,
"Secundaria (024)",276,,225,47,4,
"Superior no univ. incompleta (025)",8,,7,,1,
"Superior no univ. completa (026)",23,,19,3,1,
"Superior univ. incompleta (027)",5,,4,1,,
"Superior univ. completa (028)",23,,15,8,,
,,,,,,
"Area Urbana (030)",1834,18,918,612,248,38
"Sin nivel (031)",89,,18,17,36,18
"Educación inicial (032)",5,,3,2,,
"Primaria (033)",558,9,156,234,142,17
"Secundaria (034)",984,9,605,307,60,3
"Superior no univ. incompleta (035)",52,,39,8,5,
"Superior no univ. completa (036)",59,,37,19,3,
"Superior univ. incompleta (037)",29,,23,6,,
"Superior univ. completa (038)",58,,37,19,2,
"Hombres (040)",1376,14,633,492,206,31
"Sin nivel (041)",56,,13,9,23,11
"Educación inicial (042)",2,,1,1,,
"Primaria (043)",414,5,99,174,119,17
"Secundaria (044)",763,9,428,267,56,3
"Superior no univ. incompleta (045)",44,,32,8,4,
"Superior no univ. completa (046)",37,,19,16,2,
"Superior univ. incompleta (047)",24,,19,5,,
"Superior univ. completa (048)",36,,22,12,2,
"Mujeres (050)",458,4,285,120,42,7
"Sin nivel (051)",33,,5,8,13,7
"Educación inicial (052)",3,,2,1,,
"Primaria (053)",144,4,57,60,23,
"Secundaria (054)",221,,177,40,4,
"Superior no univ. incompleta (055)",8,,7,,1,
"Superior no univ. completa (056)",22,,18,3,1,
"Superior univ. incompleta (057)",5,,4,1,,
"Superior univ. completa (058)",22,,15,7,,
,,,,,,
"Area Rural (060)",620,10,354,175,67,14
"Sin nivel (061)",31,3,10,7,6,5
"Educación inicial (062)",4,1,3,,,
"Primaria (063)",222,5,105,64,41,7
"Secundaria (064)",331,1,224,87,17,2
"Superior no univ. incompleta (065)",7,,3,4,,
"Superior no univ. completa (066)",15,,7,7,1,
"Superior univ. incompleta (067)",3,,,2,1,
"Superior univ. completa (068)",7,,2,4,1,
"Hombres (070)",492,6,255,157,62,12
"Sin nivel (071)",22,2,7,7,3,3
"Educación inicial (072)",2,,2,,,
"Primaria (073)",162,3,59,54,39,7
"Secundaria (074)",276,1,176,80,17,2
"Superior no univ. incompleta (075)",7,,3,4,,
"Superior no univ. completa (076)",14,,6,7,1,
"Superior univ. incompleta (077)",3,,,2,1,
"Superior univ. completa (078)",6,,2,3,1,
"Mujeres (080)",128,4,99,18,5,2
"Sin nivel (081)",9,1,3,,3,2
"Educación inicial (082)",2,1,1,,,
"Primaria (083)",60,2,46,10,2,
"Secundaria (084)",55,,48,7,,
"Superior no univ. completa (086)",1,,1,,,
"Superior univ. completa (088)",1,,,1,,
