"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CARHUAZ (000)",12182,94,317,850,1385,2486,3814,3236
"De 12 a 14 años (001)",12,,,,,,,12
"De 15 a 19 años (002)",292,,,,,,158,134
"De 20 a 24 años (003)",1172,,,,,6,709,457
"De 25 a 29 años (004)",1372,,,,,83,860,429
"De 30 a 34 años (005)",1406,,,,,281,804,321
"De 35 a 39 años (006)",1376,,,,13,435,662,266
"De 40 a 44 años (007)",1193,,,,74,490,414,215
"De 45 a 49 años (008)",1036,,,4,165,521,172,174
"De 50 y más años (009)",4323,94,317,846,1133,670,35,1228
"PEA (010)",2605,3,35,119,306,567,788,787
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",48,,,,,,21,27
"De 20 a 24 años (013)",216,,,,,,116,100
"De 25 a 29 años (014)",300,,,,,21,166,113
"De 30 a 34 años (015)",368,,,,,80,188,100
"De 35 a 39 años (016)",348,,,,5,108,159,76
"De 40 a 44 años (017)",317,,,,26,124,91,76
"De 45 a 49 años (018)",271,,,4,48,110,43,66
"De 50 y más años (019)",735,3,35,115,227,124,4,227
"Ocupada (020)",2519,3,35,117,302,548,761,753
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",43,,,,,,21,22
"De 20 a 24 años (023)",204,,,,,,110,94
"De 25 a 29 años (024)",281,,,,,21,155,105
"De 30 a 34 años (025)",348,,,,,74,181,93
"De 35 a 39 años (026)",339,,,,5,103,157,74
"De 40 a 44 años (027)",311,,,,26,120,90,75
"De 45 a 49 años (028)",265,,,4,45,109,43,64
"De 50 y más años (029)",726,3,35,113,226,121,4,224
"Desocupada (030)",86,,,2,4,19,27,34
"De 15 a 19 años (032)",5,,,,,,,5
"De 20 a 24 años (033)",12,,,,,,6,6
"De 25 a 29 años (034)",19,,,,,,11,8
"De 30 a 34 años (035)",20,,,,,6,7,7
"De 35 a 39 años (036)",9,,,,,5,2,2
"De 40 a 44 años (037)",6,,,,,4,1,1
"De 45 a 49 años (038)",6,,,,3,1,,2
"De 50 y más años (039)",9,,,2,1,3,,3
"No PEA (040)",9577,91,282,731,1079,1919,3026,2449
"De 12 a 14 años (041)",10,,,,,,,10
"De 15 a 19 años (042)",244,,,,,,137,107
"De 20 a 24 años (043)",956,,,,,6,593,357
"De 25 a 29 años (044)",1072,,,,,62,694,316
"De 30 a 34 años (045)",1038,,,,,201,616,221
"De 35 a 39 años (046)",1028,,,,8,327,503,190
"De 40 a 44 años (047)",876,,,,48,366,323,139
"De 45 a 49 años (048)",765,,,,117,411,129,108
