"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ACOMAYO (000)",27357,13688,1251,366,12071
"Menos de 1 año (001)",548,480,17,5,46
"De 1 a 14 años (002)",10494,8617,414,136,1336
"De 15 a 29 años (003)",5305,1862,162,64,3218
"De 30 a 44 años (004)",4936,1288,313,78,3262
"De 45 a 64 años (005)",3812,960,253,54,2548
"De 65 y mas años (006)",2262,481,92,29,1661
"Hombres (008)",13514,6690,684,219,5938
"Menos de 1 año (009)",288,250,10,3,25
"De 1 a 14 años (010)",5339,4354,207,74,712
"De 15 a 29 años (011)",2708,888,89,41,1691
"De 30 a 44 años (012)",2467,574,176,46,1676
"De 45 a 64 años (013)",1811,431,151,35,1196
"De 65 y mas años (014)",901,193,51,20,638
"Mujeres (016)",13843,6998,567,147,6133
"Menos de 1 año (017)",260,230,7,2,21
"De 1 a 14 años (018)",5155,4263,207,62,624
"De 15 a 29 años (019)",2597,974,73,23,1527
"De 30 a 44 años (020)",2469,714,137,32,1586
"De 45 a 64 años (021)",2001,529,102,19,1352
"De 65 y mas años (022)",1361,288,41,9,1023
,,,,,
"URBANA (024)",14460,6018,1011,300,7141
"Menos de 1 año (025)",254,210,13,5,26
"De 1 a 14 años (026)",5349,4033,351,115,855
"De 15 a 29 años (027)",2765,800,114,48,1803
"De 30 a 44 años (028)",2659,424,251,64,1922
"De 45 a 64 años (029)",2112,353,206,43,1512
"De 65 y mas años (030)",1321,198,76,25,1023
"Hombres (032)",7101,2974,546,179,3411
"Menos de 1 año (033)",135,113,8,3,11
"De 1 a 14 años (034)",2722,2044,174,59,450
"De 15 a 29 años (035)",1396,390,64,31,911
"De 30 a 44 años (036)",1314,186,138,39,953
"De 45 a 64 años (037)",1008,161,120,29,699
"De 65 y mas años (038)",526,80,42,18,387
"Mujeres (040)",7359,3044,465,121,3730
"Menos de 1 año (041)",119,97,5,2,15
"De 1 a 14 años (042)",2627,1989,177,56,405
"De 15 a 29 años (043)",1369,410,50,17,892
"De 30 a 44 años (044)",1345,238,113,25,969
"De 45 a 64 años (045)",1104,192,86,14,813
"De 65 y mas años (046)",795,118,34,7,636
,,,,,
"RURAL (048)",12897,7670,240,66,4930
"Menos de 1 año (049)",294,270,4,,20
"De 1 a 14 años (050)",5145,4584,63,21,481
"De 15 a 29 años (051)",2540,1062,48,16,1415
"De 30 a 44 años (052)",2277,864,62,14,1340
"De 45 a 64 años (053)",1700,607,47,11,1036
"De 65 y mas años (054)",941,283,16,4,638
"Hombres (056)",6413,3716,138,40,2527
"Menos de 1 año (057)",153,137,2,,14
"De 1 a 14 años (058)",2617,2310,33,15,262
"De 15 a 29 años (059)",1312,498,25,10,780
"De 30 a 44 años (060)",1153,388,38,7,723
"De 45 a 64 años (061)",803,270,31,6,497
"De 65 y mas años (062)",375,113,9,2,251
"Mujeres (064)",6484,3954,102,26,2403
"Menos de 1 año (065)",141,133,2,,6
"De 1 a 14 años (066)",2528,2274,30,6,219
"De 15 a 29 años (067)",1228,564,23,6,635
"De 30 a 44 años (068)",1124,476,24,7,617
"De 45 a 64 años (069)",897,337,16,5,539
"De 65 y mas años (070)",566,170,7,2,387
