"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LUYA (000)",22558,3634,7162,6035,5727
"Asiste actualmente (001)",14385,1845,6755,4703,1082
"No asiste (002)",8173,1789,407,1332,4645
"Hombres (004)",11759,1801,3646,3183,3129
"Asiste actualmente (005)",7431,892,3429,2445,665
"No asiste (006)",4328,909,217,738,2464
"Mujeres (008)",10799,1833,3516,2852,2598
"Asiste actualmente (009)",6954,953,3326,2258,417
"No asiste (010)",3845,880,190,594,2181
,,,,,
"URBANA (012)",8621,1337,2663,2472,2149
"Asiste actualmente (013)",5934,652,2533,2167,582
"No asiste (014)",2687,685,130,305,1567
"Hombres (016)",4385,631,1349,1270,1135
"Asiste actualmente (017)",3038,309,1280,1098,351
"No asiste (018)",1347,322,69,172,784
"Mujeres (020)",4236,706,1314,1202,1014
"Asiste actualmente (021)",2896,343,1253,1069,231
"No asiste (022)",1340,363,61,133,783
,,,,,
"RURAL (024)",13937,2297,4499,3563,3578
"Asiste actualmente (025)",8451,1193,4222,2536,500
"No asiste (026)",5486,1104,277,1027,3078
"Hombres (028)",7374,1170,2297,1913,1994
"Asiste actualmente (029)",4393,583,2149,1347,314
"No asiste (030)",2981,587,148,566,1680
"Mujeres (032)",6563,1127,2202,1650,1584
"Asiste actualmente (033)",4058,610,2073,1189,186
"No asiste (034)",2505,517,129,461,1398
