"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AMBO (000)",48297,7254,594,26246,11233,823,747,610,790
"Hombres (001)",24132,1971,319,13830,6473,409,369,324,437
"Mujeres (002)",24165,5283,275,12416,4760,414,378,286,353
"PEA (003)",16833,1980,25,8694,4481,335,523,216,579
"Hombres (004)",13680,1383,19,7489,3716,236,319,155,363
"Mujeres (005)",3153,597,6,1205,765,99,204,61,216
"Ocupada (006)",15878,1875,23,8376,4093,304,477,188,542
"Hombres (007)",12941,1304,17,7234,3410,211,294,131,340
"Mujeres (008)",2937,571,6,1142,683,93,183,57,202
"Desocupada (009)",955,105,2,318,388,31,46,28,37
"Hombres (010)",739,79,2,255,306,25,25,24,23
"Mujeres (011)",216,26,,63,82,6,21,4,14
"No PEA (012)",31464,5274,569,17552,6752,488,224,394,211
"Hombres (013)",10452,588,300,6341,2757,173,50,169,74
"Mujeres (014)",21012,4686,269,11211,3995,315,174,225,137
,,,,,,,,,
"URBANA (018)",16365,1515,170,6945,5486,570,542,485,652
"Hombres (019)",8035,374,98,3406,3004,285,258,259,351
"Mujeres (020)",8330,1141,72,3539,2482,285,284,226,301
"PEA (021)",5591,382,8,1810,2115,244,381,175,476
"Hombres (022)",4076,226,8,1390,1646,167,225,123,291
"Mujeres (023)",1515,156,,420,469,77,156,52,185
"Ocupada (024)",5083,341,6,1688,1884,221,349,151,443
"Hombres (025)",3683,197,6,1291,1461,150,206,102,270
"Mujeres (026)",1400,144,,397,423,71,143,49,173
"Desocupada (027)",508,41,2,122,231,23,32,24,33
"Hombres (028)",393,29,2,99,185,17,19,21,21
"Mujeres (029)",115,12,,23,46,6,13,3,12
"No PEA (030)",10774,1133,162,5135,3371,326,161,310,176
"Hombres (031)",3959,148,90,2016,1358,118,33,136,60
"Mujeres (032)",6815,985,72,3119,2013,208,128,174,116
,,,,,,,,,
"RURAL (036)",31932,5739,424,19301,5747,253,205,125,138
"Hombres (037)",16097,1597,221,10424,3469,124,111,65,86
"Mujeres (038)",15835,4142,203,8877,2278,129,94,60,52
"PEA (039)",11242,1598,17,6884,2366,91,142,41,103
"Hombres (040)",9604,1157,11,6099,2070,69,94,32,72
"Mujeres (041)",1638,441,6,785,296,22,48,9,31
"Ocupada (042)",10795,1534,17,6688,2209,83,128,37,99
"Hombres (043)",9258,1107,11,5943,1949,61,88,29,70
"Mujeres (044)",1537,427,6,745,260,22,40,8,29
"Desocupada (045)",447,64,,196,157,8,14,4,4
"Hombres (046)",346,50,,156,121,8,6,3,2
"Mujeres (047)",101,14,,40,36,,8,1,2
"No PEA (048)",20690,4141,407,12417,3381,162,63,84,35
"Hombres (049)",6493,440,210,4325,1399,55,17,33,14
"Mujeres (050)",14197,3701,197,8092,1982,107,46,51,21
