"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SULLANA (000)",110969,270592,247036,,4924,91.3,1.8
"De 12 a 14 años (001)",9245,56,52,,6,92.9,10.7
"De 15 a 19 años (002)",14817,1865,1830,525,98.1,28.2,
"De 20 a 24 años (003)",12971,9268,9135,1245,98.6,13.4,
"De 25 a 29 años (004)",12305,17376,17020,1259,98,7.2,
"De 30 a 34 años (005)",11635,24244,23591,1039,97.3,4.3,
"De 35 a 39 años (006)",10200,27497,26528,613,96.5,2.2,
"De 40 a 44 años (007)",8810,28722,27241,208,94.8,0.7,
"De 45 a 49 años (008)",7615,29375,27375,29,93.2,0.1,
"De 50 y más años (009)",23371,132189,114264,,86.4,,
"PEA (010)",26529,58755,55153,791,93.9,1.3,
"De 12 a 14 años (011)",199,11,11,1,100,9.1,
"De 15 a 19 años (012)",1636,210,203,48,96.7,22.9,
"De 20 a 24 años (013)",3205,1402,1381,129,98.5,9.2,
"De 25 a 29 años (014)",3642,3632,3547,181,97.7,5,
"De 30 a 34 años (015)",3637,6126,5985,211,97.7,3.4,
"De 35 a 39 años (016)",3628,8494,8235,148,97,1.7,
"De 40 a 44 años (017)",3369,9746,9326,63,95.7,0.6,
"De 45 a 49 años (018)",2740,8919,8405,10,94.2,0.1,
"De 50 y más años (019)",4473,20215,18060,,89.3,,
"Ocupada (020)",25075,57019,53521,738,93.9,1.3,
"De 12 a 14 años (021)",181,11,11,1,100,9.1,
"De 15 a 19 años (022)",1425,186,179,38,96.2,20.4,
"De 20 a 24 años (023)",2829,1293,1274,118,98.5,9.1,
"De 25 a 29 años (024)",3330,3422,3344,168,97.7,4.9,
"De 30 a 34 años (025)",3461,5853,5718,197,97.7,3.4,
"De 35 a 39 años (026)",3492,8197,7950,145,97,1.8,
"De 40 a 44 años (027)",3277,9483,9074,61,95.7,0.6,
"De 45 a 49 años (028)",2675,8696,8193,10,94.2,0.1,
"De 50 y más años (029)",4405,19878,17778,,89.4,,
"Desocupada (030)",1454,1736,1632,53,94,3.1,
"De 12 a 14 años (031)",18,,,,,,
"De 15 a 19 años (032)",211,24,24,10,100,41.7,
"De 20 a 24 años (033)",376,109,107,11,98.2,10.1,
"De 25 a 29 años (034)",312,210,203,13,96.7,6.2,
