"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAMAS (000)",67841,6118,707,41905,15714,892,1234,467,804
"Hombres (001)",35857,1784,351,22530,9290,501,652,267,482
"Mujeres (002)",31984,4334,356,19375,6424,391,582,200,322
"PEA (003)",33315,2792,62,19966,8085,513,1002,242,653
"Hombres (004)",24143,1320,37,14947,6337,342,575,169,416
"Mujeres (005)",9172,1472,25,5019,1748,171,427,73,237
"Ocupada (006)",32666,2753,62,19639,7873,499,972,238,630
"Hombres (007)",23680,1293,37,14720,6168,329,564,167,402
"Mujeres (008)",8986,1460,25,4919,1705,170,408,71,228
"Desocupada (009)",649,39,,327,212,14,30,4,23
"Hombres (010)",463,27,,227,169,13,11,2,14
"Mujeres (011)",186,12,,100,43,1,19,2,9
"No PEA (012)",34526,3326,645,21939,7629,379,232,225,151
"Hombres (013)",11714,464,314,7583,2953,159,77,98,66
"Mujeres (014)",22812,2862,331,14356,4676,220,155,127,85
,,,,,,,,,
"URBANA (018)",33279,2019,388,17599,10270,751,1102,415,735
"Hombres (019)",17084,520,182,8975,5752,419,572,228,436
"Mujeres (020)",16195,1499,206,8624,4518,332,530,187,299
"PEA (021)",16257,905,25,8038,5159,435,885,214,596
"Hombres (022)",11000,324,13,5539,3820,284,499,144,377
"Mujeres (023)",5257,581,12,2499,1339,151,386,70,219
"Ocupada (024)",15840,886,25,7854,5008,423,858,211,575
"Hombres (025)",10696,312,13,5400,3702,273,490,142,364
"Mujeres (026)",5144,574,12,2454,1306,150,368,69,211
"Desocupada (027)",417,19,,184,151,12,27,3,21
"Hombres (028)",304,12,,139,118,11,9,2,13
"Mujeres (029)",113,7,,45,33,1,18,1,8
"No PEA (030)",17022,1114,363,9561,5111,316,217,201,139
"Hombres (031)",6084,196,169,3436,1932,135,73,84,59
"Mujeres (032)",10938,918,194,6125,3179,181,144,117,80
,,,,,,,,,
"RURAL (036)",34562,4099,319,24306,5444,141,132,52,69
"Hombres (037)",18773,1264,169,13555,3538,82,80,39,46
"Mujeres (038)",15789,2835,150,10751,1906,59,52,13,23
"PEA (039)",17058,1887,37,11928,2926,78,117,28,57
"Hombres (040)",13143,996,24,9408,2517,58,76,25,39
"Mujeres (041)",3915,891,13,2520,409,20,41,3,18
"Ocupada (042)",16826,1867,37,11785,2865,76,114,27,55
"Hombres (043)",12984,981,24,9320,2466,56,74,25,38
"Mujeres (044)",3842,886,13,2465,399,20,40,2,17
"Desocupada (045)",232,20,,143,61,2,3,1,2
"Hombres (046)",159,15,,88,51,2,2,,1
"Mujeres (047)",73,5,,55,10,,1,1,1
"No PEA (048)",17504,2212,282,12378,2518,63,15,24,12
"Hombres (049)",5630,268,145,4147,1021,24,4,14,7
"Mujeres (050)",11874,1944,137,8231,1497,39,11,10,5
