"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUACAYBAMBA (000)",4780,56,2102,1579,419,112,38,20,3,,451
"Sin Nivel (001)",1867,27,721,643,222,53,20,14,2,,165
"Educación Inicial (002)",5,,5,,,,,,,,
"Primaria (003)",2020,26,1041,601,123,34,12,4,1,,178
"Secundaria (004)",670,2,283,255,34,9,4,1,,,82
"Sup. no Univ. Incompleta (005)",46,,21,13,5,,,,,,7
"Sup. no Univ. Completa (006)",102,,22,49,18,4,1,,,,8
"Sup. Univ. Incompleta (007)",13,1,3,2,1,2,,,,,4
"Sup. Univ. Completa (008)",57,,6,16,16,10,1,1,,,7
,,,,,,,,,,,
"URBANA (010)",897,7,389,292,78,26,9,5,,,91
"Sin Nivel (011)",151,2,45,50,21,3,4,3,,,23
"Educación Inicial (012)",1,,1,,,,,,,,
"Primaria (013)",372,5,197,103,24,10,2,1,,,30
"Secundaria (014)",228,,104,92,8,3,1,,,,20
"Sup. no Univ. Incompleta (015)",31,,17,9,2,,,,,,3
"Sup. no Univ. Completa (016)",68,,17,27,13,3,1,,,,7
"Sup. Univ. Incompleta (017)",9,,3,1,,2,,,,,3
"Sup. Univ. Completa (018)",37,,5,10,10,5,1,1,,,5
,,,,,,,,,,,
"RURAL (020)",3883,49,1713,1287,341,86,29,15,3,,360
"Sin Nivel (021)",1716,25,676,593,201,50,16,11,2,,142
"Educación Inicial (022)",4,,4,,,,,,,,
"Primaria (023)",1648,21,844,498,99,24,10,3,1,,148
"Secundaria (024)",442,2,179,163,26,6,3,1,,,62
"Sup. no Univ. Incompleta (025)",15,,4,4,3,,,,,,4
"Sup. no Univ. Completa (026)",34,,5,22,5,1,,,,,1
"Sup. Univ. Incompleta (027)",4,1,,1,1,,,,,,1
"Sup. Univ. Completa (028)",20,,1,6,6,5,,,,,2
