"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCABAMBA (000)",55,48,7
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",16,16,
"Casa pensión (003)",8,8,
"Hospital, clinica (004)",6,6,
"Cárcel, centro de readaptación social (005)",1,,1
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,,1
"Otro (008)",16,12,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",6,5,1
