"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUAMALIES (000)",33723,5101,11156,8963,8503
"Asiste actualmente (001)",22157,1881,10480,7760,2036
"No asiste (002)",11566,3220,676,1203,6467
"Hombres (004)",17355,2575,5680,4663,4437
"Asiste actualmente (005)",11507,967,5319,4044,1177
"No asiste (006)",5848,1608,361,619,3260
"Mujeres (008)",16368,2526,5476,4300,4066
"Asiste actualmente (009)",10650,914,5161,3716,859
"No asiste (010)",5718,1612,315,584,3207
,,,,,
"URBANA (012)",9243,1281,3031,2629,2302
"Asiste actualmente (013)",6748,587,2898,2440,823
"No asiste (014)",2495,694,133,189,1479
"Hombres (016)",4673,649,1536,1329,1159
"Asiste actualmente (017)",3455,291,1473,1243,448
"No asiste (018)",1218,358,63,86,711
"Mujeres (020)",4570,632,1495,1300,1143
"Asiste actualmente (021)",3293,296,1425,1197,375
"No asiste (022)",1277,336,70,103,768
,,,,,
"RURAL (024)",24480,3820,8125,6334,6201
"Asiste actualmente (025)",15409,1294,7582,5320,1213
"No asiste (026)",9071,2526,543,1014,4988
"Hombres (028)",12682,1926,4144,3334,3278
"Asiste actualmente (029)",8052,676,3846,2801,729
"No asiste (030)",4630,1250,298,533,2549
"Mujeres (032)",11798,1894,3981,3000,2923
"Asiste actualmente (033)",7357,618,3736,2519,484
"No asiste (034)",4441,1276,245,481,2439
