"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OXAPAMPA (000)",76072,18987,7226,2251,47765
"Quechua (001)",5906,642,347,107,4820
"Aymara (002)",115,20,15,6,79
"Asháninka (003)",6193,2039,152,264,3748
"Otra lengua nativa (004)",1787,496,99,29,1166
"Castellano (005)",61869,15739,6608,1837,37814
"Idioma Extranjero (006)",11,,3,7,1
"Es Sordomudo/a (007)",191,51,2,1,137
"Hombres (009)",40350,9269,3668,1462,26067
"Quechua (010)",3166,313,213,65,2582
"Aymara (011)",56,8,8,3,38
"Asháninka (012)",3132,1003,75,155,1906
"Otra lengua nativa (013)",955,244,53,21,640
"Castellano (014)",32937,7686,3316,1211,20822
"Idioma Extranjero (015)",7,,1,6,
"Es Sordomudo/a (016)",97,15,2,1,79
"Mujeres (018)",35722,9718,3558,789,21698
"Quechua (019)",2740,329,134,42,2238
"Aymara (020)",59,12,7,3,41
"Asháninka (021)",3061,1036,77,109,1842
"Otra lengua nativa (022)",832,252,46,8,526
"Castellano (023)",28932,8053,3292,626,16992
"Idioma Extranjero (024)",4,,2,1,1
"Es Sordomudo/a (025)",94,36,,,58
,,,,,
"URBANA (027)",29079,4896,4887,1352,18066
"Quechua (028)",1542,87,181,59,1219
"Aymara (029)",35,8,12,3,15
"Asháninka (030)",370,69,46,28,233
"Otra lengua nativa (031)",100,7,28,14,53
"Castellano (032)",26983,4716,4616,1245,16513
"Idioma Extranjero (033)",7,,3,3,1
"Es Sordomudo/a (034)",42,9,1,,32
"Hombres (036)",15102,2264,2459,939,9533
"Quechua (037)",814,34,108,35,638
"Aymara (038)",16,1,6,1,8
"Asháninka (039)",176,25,29,23,104
"Otra lengua nativa (040)",51,3,14,13,23
"Castellano (041)",14019,2198,2300,865,8741
"Idioma Extranjero (042)",3,,1,2,
"Es Sordomudo/a (043)",23,3,1,,19
"Mujeres (045)",13977,2632,2428,413,8533
"Quechua (046)",728,53,73,24,581
"Aymara (047)",19,7,6,2,7
"Asháninka (048)",194,44,17,5,129
"Otra lengua nativa (049)",49,4,14,1,30
"Castellano (050)",12964,2518,2316,380,7772
"Idioma Extranjero (051)",4,,2,1,1
"Es Sordomudo/a (052)",19,6,,,13
,,,,,
"RURAL (054)",46993,14091,2339,899,29699
"Quechua (055)",4364,555,166,48,3601
"Aymara (056)",80,12,3,3,64
"Asháninka (057)",5823,1970,106,236,3515
"Otra lengua nativa (058)",1687,489,71,15,1113
"Castellano (059)",34886,11023,1992,592,21301
"Idioma Extranjero (060)",4,,,4,
"Es Sordomudo/a (061)",149,42,1,1,105
"Hombres (063)",25248,7005,1209,523,16534
"Quechua (064)",2352,279,105,30,1944
"Aymara (065)",40,7,2,2,30
"Asháninka (066)",2956,978,46,132,1802
"Otra lengua nativa (067)",904,241,39,8,617
"Castellano (068)",18918,5488,1016,346,12081
"Idioma Extranjero (069)",4,,,4,
"Es Sordomudo/a (070)",74,12,1,1,60
"Mujeres (072)",21745,7086,1130,376,13165
"Quechua (073)",2012,276,61,18,1657
"Aymara (074)",40,5,1,1,34
"Asháninka (075)",2867,992,60,104,1713
"Otra lengua nativa (076)",783,248,32,7,496
"Castellano (077)",15968,5535,976,246,9220
"Es Sordomudo/a (079)",75,30,,,45
