"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHUMBIVILCAS (000)",23561,581,6194,7950,6585,2251
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",35,,4,26,5,
"Profes., científicos e intelectuales (002)",1147,,236,685,223,3
"Técnicos de nivel medio y trab.asimilados (003)",197,1,79,81,33,3
"Jefes y empleados de oficina (004)",168,,65,64,38,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1060,30,369,379,219,63
"Agricult.trabaj. calif. agrop. y pesqueros (006)",10265,23,1783,3428,3557,1474
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",980,19,325,303,275,58
"Obreros construc., conf., papel, fab., instr. (008)",776,3,235,317,186,35
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",7834,488,2668,2320,1841,517
"Otra (010)",22,,9,9,4,
"Ocupación no especificada (011)",635,4,186,208,158,79
"Desocupado (012)",442,13,235,130,46,18
"Hombres (013)",14680,320,3630,5024,4242,1464
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",28,,1,22,5,
"Profes., científicos e intelectuales (015)",725,,122,429,171,3
"Técnicos de nivel medio y trab.asimilados (016)",126,1,47,52,24,2
"Jefes y empleados de oficina (017)",119,,34,51,33,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",338,15,100,121,81,21
"Agricult.trabaj. calif. agrop. y pesqueros (019)",8219,13,1331,2821,2888,1166
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",622,14,222,188,164,34
"Obreros construc., conf., papel, fab., instr. (021)",733,3,225,296,177,32
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3181,265,1295,851,599,171
"Otra (023)",22,,9,9,4,
"Ocupación no especificada (024)",253,1,89,80,62,21
"Desocupado (025)",314,8,155,104,34,13
"Mujeres (026)",8881,261,2564,2926,2343,787
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,,3,4,,
"Profes., científicos e intelectuales (028)",422,,114,256,52,
"Técnicos de nivel medio y trab.asimilados (029)",71,,32,29,9,1
"Jefes y empleados de oficina (030)",49,,31,13,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",722,15,269,258,138,42
"Agricult.trabaj. calif. agrop. y pesqueros (032)",2046,10,452,607,669,308
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",358,5,103,115,111,24
