"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAMBAYEQUE (000)",241463,32734,6960,104282,66158,7533,9733,6171,7892
"Jefe o Jefa (001)",56264,5725,35,25072,15872,1835,3392,1193,3140
"Esposa(o)/ compa¤era(o) (002)",39570,6115,48,19347,8950,1031,2061,571,1447
"Hijo(a)/ hijastro(a) (003)",108395,14072,5232,45160,31572,3538,3035,3399,2387
"Yerno/ nuera (004)",6074,186,13,2472,2424,248,370,114,247
"Nieto(a) (005)",14972,3651,1314,6276,2922,254,165,293,97
"Padres/ suegros (006)",2360,1126,,1019,119,3,44,1,48
"Otro(a) pariente (007)",11735,1689,292,4292,3581,498,550,436,397
"Trabajador(a) del hogar (008)",303,34,2,140,109,8,6,4,
"Pensionista (009)",147,8,,13,56,15,7,36,12
"Otro(a) no pariente (010)",1643,128,24,491,553,103,103,124,117
"Hombres (012)",119531,13310,3596,49793,37075,3825,4481,3295,4156
"Jefe o Jefa (013)",44171,3267,20,20272,13246,1428,2491,945,2502
"Esposa(o)/ compa¤era(o) (014)",1457,89,3,512,517,62,98,63,113
"Hijo(a)/ hijastro(a) (015)",56483,7001,2715,22554,18311,1782,1315,1752,1053
"Yerno/ nuera (016)",2014,40,3,552,930,110,172,59,148
"Nieto(a) (017)",7806,1883,703,3182,1623,129,91,147,48
"Padres/ suegros (018)",736,245,,414,40,2,19,1,15
"Otro(a) pariente (019)",5879,705,139,2071,2039,253,240,233,199
"Trabajador(a) del hogar (020)",35,7,2,11,11,2,,2,
"Pensionista (021)",95,7,,8,33,11,3,26,7
"Otro(a) no pariente (022)",855,66,11,217,325,46,52,67,71
"Mujeres (024)",121932,19424,3364,54489,29083,3708,5252,2876,3736
"Jefe o Jefa (025)",12093,2458,15,4800,2626,407,901,248,638
"Esposa(o)/ compa¤era(o) (026)",38113,6026,45,18835,8433,969,1963,508,1334
"Hijo(a)/ hijastro(a) (027)",51912,7071,2517,22606,13261,1756,1720,1647,1334
"Yerno/ nuera (028)",4060,146,10,1920,1494,138,198,55,99
"Nieto(a) (029)",7166,1768,611,3094,1299,125,74,146,49
"Padres/ suegros (030)",1624,881,,605,79,1,25,,33
"Otro(a) pariente (031)",5856,984,153,2221,1542,245,310,203,198
"Trabajador(a) del hogar (032)",268,27,,129,98,6,6,2,
"Pensionista (033)",52,1,,5,23,4,4,10,5
"Otro(a) no pariente (034)",788,62,13,274,228,57,51,57,46
,,,,,,,,,
"URBANA (036)",117427,11282,3632,38001,37056,6034,8411,5630,7381
"Jefe o Jefa (037)",29081,1787,24,9052,9471,1579,3049,1133,2986
"Esposa(o)/ compa¤era(o) (038)",18748,1450,27,6663,5871,908,1888,544,1397
"Hijo(a)/ hijastro(a) (039)",49925,5279,2688,16053,15743,2606,2391,3020,2145
"Yerno/ nuera (040)",2675,38,4,556,1231,207,310,106,223
"Nieto(a) (041)",7160,1543,686,2632,1634,181,139,255,90
"Padres/ suegros (042)",1247,408,,641,106,3,41,1,47
