"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PAITA (000)",108535,2580,33242,30806,22048,14325,5534
"Hombres (001)",54581,1299,16793,15305,10918,7370,2896
"Mujeres (002)",53954,1281,16449,15501,11130,6955,2638
"Viviendas particulares (003)",107818,2569,33219,30490,21823,14193,5524
"Hombres (004)",54008,1293,16780,15049,10738,7261,2887
"Mujeres (005)",53810,1276,16439,15441,11085,6932,2637
"Viviendas colectivas (006)",560,11,17,245,168,111,8
"Hombres (007)",432,6,8,194,129,88,7
"Mujeres (008)",128,5,9,51,39,23,1
"Otro tipo (009)",157,,6,71,57,21,2
"Hombres (010)",141,,5,62,51,21,2
"Mujeres (011)",16,,1,9,6,,
,,,,,,,
"URBANA (012)",103615,2463,31747,29429,21083,13661,5232
"Hombres (013)",51974,1240,16016,14599,10378,7013,2728
"Mujeres (014)",51641,1223,15731,14830,10705,6648,2504
"Viviendas particulares (015)",102971,2452,31724,29129,20889,13554,5223
"Hombres (016)",51473,1234,16003,14358,10229,6929,2720
"Mujeres (017)",51498,1218,15721,14771,10660,6625,2503
"Viviendas colectivas (018)",487,11,17,229,137,86,7
"Hombres (019)",360,6,8,179,98,63,6
"Mujeres (020)",127,5,9,50,39,23,1
"Otro tipo (021)",157,,6,71,57,21,2
"Hombres (022)",141,,5,62,51,21,2
"Mujeres (023)",16,,1,9,6,,
,,,,,,,
"RURAL (024)",4920,117,1495,1377,965,664,302
"Hombres (025)",2607,59,777,706,540,357,168
"Mujeres (026)",2313,58,718,671,425,307,134
"Viviendas particulares (027)",4847,117,1495,1361,934,639,301
"Hombres (028)",2535,59,777,691,509,332,167
"Mujeres (029)",2312,58,718,670,425,307,134
"Viviendas colectivas (030)",73,,,16,31,25,1
"Hombres (031)",72,,,15,31,25,1
"Mujeres (032)",1,,,1,,,
