"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",12742,6592,41,69,5357,208,35,25,,415
"Hombres (001)",4727,3402,31,24,890,90,32,17,,241
"Mujeres (002)",8015,3190,10,45,4467,118,3,8,,174
"De 06 a 14 años (003)",5223,5042,,,83,51,,4,,43
"Hombres (004)",2628,2556,,,26,22,,3,,21
"Mujeres (005)",2595,2486,,,57,29,,1,,22
"De 15 a 29 años (006)",3255,1535,1,7,1607,,19,3,,83
"Hombres (007)",1169,840,,1,252,,19,2,,55
"Mujeres (008)",2086,695,1,6,1355,,,1,,28
"De 30 a 44 años (009)",1480,9,,20,1378,,10,5,,58
"Hombres (010)",242,4,,7,178,,9,3,,41
"Mujeres (011)",1238,5,,13,1200,,1,2,,17
"De 45 a 64 años (012)",1627,5,19,27,1461,8,5,3,,99
"Hombres (013)",324,1,13,10,232,1,4,3,,60
"Mujeres (014)",1303,4,6,17,1229,7,1,,,39
"De 65 y más años (015)",1157,1,21,15,828,149,1,10,,132
"Hombres (016)",364,1,18,6,202,67,,6,,64
"Mujeres (017)",793,,3,9,626,82,1,4,,68
,,,,,,,,,,
"AREA URBANA (018)",1583,916,28,22,569,25,2,3,,18
"Hombres (019)",596,459,21,13,71,15,1,2,,14
"Mujeres (020)",987,457,7,9,498,10,1,1,,4
"De 06 a 14 años (021)",684,674,,,6,4,,,,
"Hombres (022)",337,333,,,1,3,,,,
"Mujeres (023)",347,341,,,5,1,,,,
"De 15 a 29 años (024)",428,241,,2,178,,,1,,6
"Hombres (025)",150,126,,1,18,,,,,5
"Mujeres (026)",278,115,,1,160,,,1,,1
"De 30 a 44 años (027)",160,1,,5,145,,2,1,,6
"Hombres (028)",24,,,3,13,,1,1,,6
"Mujeres (029)",136,1,,2,132,,1,,,
"De 45 a 64 años (030)",177,,12,13,146,,,,,6
"Hombres (031)",36,,8,8,17,,,,,3
"Mujeres (032)",141,,4,5,129,,,,,3
"De 65 y más años (033)",134,,16,2,94,21,,1,,
"Hombres (034)",49,,13,1,22,12,,1,,
"Mujeres (035)",85,,3,1,72,9,,,,
,,,,,,,,,,
"AREA RURAL (036)",11159,5676,13,47,4788,183,33,22,,397
"Hombres (037)",4131,2943,10,11,819,75,31,15,,227
"Mujeres (038)",7028,2733,3,36,3969,108,2,7,,170
"De 06 a 14 años (039)",4539,4368,,,77,47,,4,,43
"Hombres (040)",2291,2223,,,25,19,,3,,21
"Mujeres (041)",2248,2145,,,52,28,,1,,22
"De 15 a 29 años (042)",2827,1294,1,5,1429,,19,2,,77
"Hombres (043)",1019,714,,,234,,19,2,,50
"Mujeres (044)",1808,580,1,5,1195,,,,,27
"De 30 a 44 años (045)",1320,8,,15,1233,,8,4,,52
"Hombres (046)",218,4,,4,165,,8,2,,35
"Mujeres (047)",1102,4,,11,1068,,,2,,17
"De 45 a 64 años (048)",1450,5,7,14,1315,8,5,3,,93
"Hombres (049)",288,1,5,2,215,1,4,3,,57
"Mujeres (050)",1162,4,2,12,1100,7,1,,,36
"De 65 y más años (051)",1023,1,5,13,734,128,1,9,,132
"Hombres (052)",315,1,5,5,180,55,,5,,64
"Mujeres (053)",708,,,8,554,73,1,4,,68
