"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AYABACA (000)",49,30,19
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",9,8,1
"Casa pensión (003)",7,5,2
"Hospital, clinica (004)",6,3,3
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",22,9,13
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",4,4,
