"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia YAULI (000)",12579,43,216,592,1296,2759,4559,3114
"De 12 a 14 años (001)",21,,,,,,,21
"De 15 a 19 años (002)",255,,,,,,159,96
"De 20 a 24 años (003)",1361,,,,,1,790,570
"De 25 a 29 años (004)",1683,,,,,91,1052,540
"De 30 a 34 años (005)",1769,,,,,305,1038,426
"De 35 a 39 años (006)",1709,,,,15,568,810,316
"De 40 a 44 años (007)",1545,,,,80,712,494,259
"De 45 a 49 años (008)",1207,,,7,228,584,183,205
"De 50 y más años (009)",3029,43,216,585,973,498,33,681
"PEA (010)",4075,5,40,144,433,1015,1281,1157
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",49,,,,,,25,24
"De 20 a 24 años (013)",367,,,,,1,162,204
"De 25 a 29 años (014)",546,,,,,32,295,219
"De 30 a 34 años (015)",578,,,,,124,258,196
"De 35 a 39 años (016)",623,,,,6,200,289,128
"De 40 a 44 años (017)",576,,,,33,241,172,130
"De 45 a 49 años (018)",454,,,1,75,227,68,83
"De 50 y más años (019)",881,5,40,143,319,190,12,172
"Ocupada (020)",3929,5,40,143,425,995,1236,1085
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",45,,,,,,23,22
"De 20 a 24 años (023)",333,,,,,1,149,183
"De 25 a 29 años (024)",504,,,,,32,279,193
"De 30 a 34 años (025)",559,,,,,121,253,185
"De 35 a 39 años (026)",604,,,,6,195,283,120
"De 40 a 44 años (027)",564,,,,32,235,169,128
"De 45 a 49 años (028)",449,,,1,74,223,68,83
"De 50 y más años (029)",870,5,40,142,313,188,12,170
"Desocupada (030)",146,,,1,8,20,45,72
"De 15 a 19 años (032)",4,,,,,,2,2
"De 20 a 24 años (033)",34,,,,,,13,21
"De 25 a 29 años (034)",42,,,,,,16,26
"De 30 a 34 años (035)",19,,,,,3,5,11
"De 35 a 39 años (036)",19,,,,,5,6,8
"De 40 a 44 años (037)",12,,,,1,6,3,2
"De 45 a 49 años (038)",5,,,,1,4,,
"De 50 y más años (039)",11,,,1,6,2,,2
"No PEA (040)",8504,38,176,448,863,1744,3278,1957
"De 12 a 14 años (041)",20,,,,,,,20
"De 15 a 19 años (042)",206,,,,,,134,72
"De 20 a 24 años (043)",994,,,,,,628,366
"De 25 a 29 años (044)",1137,,,,,59,757,321
"De 30 a 34 años (045)",1191,,,,,181,780,230
"De 35 a 39 años (046)",1086,,,,9,368,521,188
"De 40 a 44 años (047)",969,,,,47,471,322,129
"De 45 a 49 años (048)",753,,,6,153,357,115,122
