"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia OCROS (000)",3399,10181,9072,,147,89.1,1.4
"De 12 a 14 años (001)",244,,,,,,
"De 15 a 19 años (002)",326,44,44,8,100,18.2,
"De 20 a 24 años (003)",318,269,266,43,98.9,16,
"De 25 a 29 años (004)",290,456,448,39,98.2,8.6,
"De 30 a 34 años (005)",297,650,636,22,97.8,3.4,
"De 35 a 39 años (006)",259,771,741,19,96.1,2.5,
"De 40 a 44 años (007)",246,960,910,15,94.8,1.6,
"De 45 a 49 años (008)",242,1079,985,1,91.3,0.1,
"De 50 y más años (009)",1177,5952,5042,,84.7,,
"PEA (010)",938,2445,2240,29,91.6,1.2,
"De 12 a 14 años (011)",13,,,,,,
"De 15 a 19 años (012)",51,12,12,,100,,
"De 20 a 24 años (013)",112,69,68,8,98.6,11.6,
"De 25 a 29 años (014)",98,121,119,8,98.3,6.6,
"De 30 a 34 años (015)",114,165,163,4,98.8,2.4,
"De 35 a 39 años (016)",104,241,227,4,94.2,1.7,
"De 40 a 44 años (017)",108,397,381,5,96,1.3,
"De 45 a 49 años (018)",73,259,243,,93.8,,
"De 50 y más años (019)",265,1181,1027,,87,,
"Ocupada (020)",920,2428,2223,27,91.6,1.1,
"De 12 a 14 años (021)",13,,,,,,
"De 15 a 19 años (022)",49,11,11,,100,,
"De 20 a 24 años (023)",105,68,67,8,98.5,11.8,
"De 25 a 29 años (024)",96,121,119,8,98.3,6.6,
"De 30 a 34 años (025)",113,164,162,3,98.8,1.8,
"De 35 a 39 años (026)",104,241,227,4,94.2,1.7,
"De 40 a 44 años (027)",104,390,374,4,95.9,1,
"De 45 a 49 años (028)",72,252,236,,93.7,,
"De 50 y más años (029)",264,1181,1027,,87,,
"Desocupada (030)",18,17,17,2,100,11.8,
"De 15 a 19 años (032)",2,1,1,,100,,
"De 20 a 24 años (033)",7,1,1,,100,,
"De 25 a 29 años (034)",2,,,,,,
"De 30 a 34 años (035)",1,1,1,1,100,100,
"De 40 a 44 años (037)",4,7,7,1,100,14.3,
"De 45 a 49 años (038)",1,7,7,,100,,
"De 50 y más años (039)",1,,,,,,
"No PEA (040)",2461,7736,6832,118,88.3,1.5,
"De 12 a 14 años (041)",231,,,,,,
"De 15 a 19 años (042)",275,32,32,8,100,25,
