"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DATEM DEL MARAÑON (000)",712,227,485
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",45,43,2
"Casa pensión (003)",15,,15
"Hospital, clinica (004)",14,12,2
"Aldea infantil, orfelinato, etc (007)",66,66,
"Otro (008)",477,27,450
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",95,79,16
