"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CAYLLOMA",,,,,,,,,
"Viviendas particulares (001)",665,300,93,46,99,7,7,26,87
"Ocupantes presentes (002)",2594,1023,406,201,415,23,20,102,404
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",582,261,82,44,83,5,6,26,75
"Ocupantes presentes (005)",2260,911,359,194,352,14,18,102,310
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",4,1,,1,,,1,,1
"Ocupantes presentes (008)",14,3,,3,,,2,,6
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",16,5,3,,3,1,,,4
"Ocupantes presentes (011)",108,31,10,,15,7,,,45
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",42,21,3,1,12,,,,5
"Ocupantes presentes (014)",140,44,17,4,41,,,,34
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2,2,,,,,,,
"Ocupantes presentes (017)",7,7,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",17,9,4,,1,1,,,2
"Ocupantes presentes (020)",50,17,15,,7,2,,,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,1,1,,,,,,
"Ocupantes presentes (023)",15,10,5,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",645,287,93,46,99,7,7,26,80
"Ocupantes presentes (029)",2531,983,406,201,415,23,20,102,381
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",564,250,82,44,83,5,6,26,68
"Ocupantes presentes (032)",2204,878,359,194,352,14,18,102,287
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",4,1,,1,,,1,,1
"Ocupantes presentes (035)",14,3,,3,,,2,,6
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",16,5,3,,3,1,,,4
"Ocupantes presentes (038)",108,31,10,,15,7,,,45
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",42,21,3,1,12,,,,5
"Ocupantes presentes (041)",140,44,17,4,41,,,,34
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",17,9,4,,1,1,,,2
"Ocupantes presentes (047)",50,17,15,,7,2,,,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,1,1,,,,,,
"Ocupantes presentes (050)",15,10,5,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",20,13,,,,,,,7
"Ocupantes presentes (056)",63,40,,,,,,,23
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",18,11,,,,,,,7
"Ocupantes presentes (059)",56,33,,,,,,,23
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2,2,,,,,,,
"Ocupantes presentes (071)",7,7,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
